Source,NEW FORMAT,Linear A,,
KN1b,YA-DU-RA-TI-E,ydrte,,
KN2,RU-NA,rn,,
KN2,I+[A301],i301,,
KN22a,SU-JU-TA-[],sjt999,,
KN22a,SU-YU-TA-[],syt999,,
KN22a,[]-KA-JE,999kj,,
KN22a,[]-KA-YE,999ky,,
KN22b,PO-DI-[AB056],pd056,,
KN22c,MA-SU-MI,msm,,
KN28a & KN28b,TE-[A7094]-[A310],t709310,,
KN28a & KN28b,SU+MI,sm,,
KN32a,A-PA-[],ap999,,
KN32a,[]-A-KA-TA,999akt,,
KN32b,[]-SA-PU,999sp,,
KN32b,PA-[],p999,,
KN32b,[]-JA-SU,999js,,
KN32b,[]-YA-SU,999ys,,
MA1a,JE-I-DU-WI,jidw,,
MA1a,[AB047],47,,
MA1a,YE-I-DU-WI,yidw,,
MA1a,QE-MA-MI-NU,qmmn,,
MA1b,A-MA,am,,
MA1b,[AB047],47,,
MA1b,QE-MA-MI-NU,qmmn,,
MA1c,TI,t,,
MA2a,DU-RA,dr,,
MA2b,RE-TI,rt,,
MA2b,JA-KU,jk ,,
MA2b,YA-KU ,yk ,,
MA2c,U-NA-NA,unn,,
MA2c,[]-JA-MA-U-TI,999jmut,,
MA2c,[]-YA-MA-U-TI,999ymut,,
MA4a,TA-[A602],t602,,
MA4b,A-[]-JA,a999j,,
MA4b,A-[]-YA,a999y,,
PK1,SI-[]-NE-TI,s001nt,,
PK1,KA-QA,kq,,
PK1,A-DU-ZA,adz,,
PK1,TA-TA-RE,ttr,,
PK1,TA-TI-TE,ttt,,
PK1,O-KA-MI-ZA-SI-I-NA,okmzsin,,
PK1,O-TE-JA,otj,,
PK1,O-TE-YA,oty,,
PK1,RA-NA-TU-SU,rnts,,
PK1,NI-MI,nm,,
PK1,TU-SU,ts,,
PK1,MA-TI-ZA-I-TE,mtzit,,
PK1,MA-TE-TI,mtt,,
PK1,MA-KA-I-TA,mkit,,
PA1,A-KU-JU-PA,akjp,,
PA1,A-KU-YU-PA,akyp,,
PH1a,DI-RA-DI-NA-[A316]-[],drdn316999,,
PH1b,PA-[]-NI,p999n,,
PH2,A-SE-O-QI,asoq,,
PH2,RA-O-DI-KI,rodk,,
PH2,PI-RU-TI-JU,prtj,,
PH2,PI-RU-TI-YU,prty,,
PH2,SE-SA-[AB056],ss056,,
PH3a,PA-RA,pr,,
PH3a,[]-MA+A,999ma,,
PH3a,MA+MA,mm,,
PH3b,[]-MI+JA,999mj,,
PH3b,[]-MI-YA,999my,,
PH6,I-NA-WA,inw,,
PH6,A-RI-I-[AB079]-RI-NI-TA-A-RI,ari079rntar,,
PH6,I-DA-[AB056]-I-SA-RI,id056isr,,
PH7a,DI-RA-JA-[],drj999,,
PH7a,DI-RA-YA-[],dry999,,
PH7a,[]-U-DI-RI-KI-[],999udrk999,,
PH7a,[]-JA-RU-MA-NE-[],999jrmn999,,
PH7a,[]-YA-RU-MA-NE-[],999yrmn999,,
PH7a,[]-JA-SI-DA-RA,999jsdr,,
PH7a,[]-YA-SI-DA-RA,999ysdr,,
PH7b,[]-DA-RA-[A709L]-[],999dr709999,,
PH12c,TE,t,,
PH14a,NI-[A304]-JA-JA,n304jj,,
PH14a,NI-[A304]-YA-YA,n304yy,,
PH14b,MI-A,ma,,
PH15a,MA-TE-RE,mtr,,
PH16a,U-NI,un,,
PH16b,JA-SA-[],js999,,
PH16b,YA-SA-[],ys999,,
PH18a,WI-JA,wj,,
PH18a,WI-YA,wy,,
PH19,PI-O,po,,
PH24,RO-E,re,,
PH28a,JA-KI-[AB056],jk056,,
PH28a,YA-KI-[AB056],yk056,,
PH28a,A-RI-JA,arj,,
PH28a,A-RI-YA,ary,,
PH30,[]-MA-RE-RI-MI-DE,999mrrmd,,
PH31a,MA-DI,md,,
PH31a,KU-[AB056]-NU,k056n,,
PH31a,SI+RE-RE,srr,,
PH31a,PA-TA-DA-[],ptd999,,
PH31a,KU-RO,kr,,
PH31b,[]-DU-RI,999dr,,
PH31b,TE-RI,tr,,
PH31b,[]-RU-MA-TI,999rmt,,
PH31b,[]-A-MI-DA-O,999amdo,,
PYR1,TI-MA-RU-WI-TE-SE,tmrwts,,
TY3b,KI-RA-SI,krs,,
TY3b,[]-PI-KU-[AB079],999pk079,,
ZA1a,I,i,,
ZA1a,KI-RE-ZA,krz,,
ZA1a,NI,ni,,
ZA1a,[A906]-ZA,906z,,
ZA1b,E-MI-[],em999,,
GO Wc 1a,DA-SA-SU-MA-I-SE,dssmis,,
GO Wc 1b,,,,
Wa 1001-1005,DA-KA,dk,,
Wa 1014-1018,SI-KA,sk,,
Wa 1022,I-[A301],ia301,,
We 1023/Wd 1024,[A704E],a704e,,
Wa 1031,DA,d,,
Wa 1032-1121,RO,r,,
Wa 1122-1130,TE,t,,
Wa 1147-1149,A,a,,
Wa 1150-1174,I,i,,
Wa 1175-1266,SI,s,,
Wa 1279-1281,O,o,,
Wa 1282-1321,JE,j,,
Wa 1337-1470,KA,k,,
Wa 1486-1620,KU,k,,
Wa 1635-1848,[A301],a301,,
,,,,
Wb 2002,RO,r,,
Wc 3001-3002,PA-I-JA,pij,,
,PA-I-YA,piy,,
Wc 3003,KA-RE-RO,krr,,
Wc 3007a,WA-DI-NI,wdn,,
Wc 3007b,RU-JA-TA-DI,rjtd,,
,RU-YA-TA-DI,rytd,,
Wc 3009a,[A333]-DI-SU-KA,a333dsk,,
Wc 3009b,[AB188],ab188,,
Wc 3013,[AB188],ab188,,
Wc 3014a,KU-MI-NA,kmn,,
Wc 3014b,QE-[],qx,,
Wc 3015a,KA-KU-PA,kkp,,
Wc 3015b,[A303],a303,,
Wc 3019,WA,w,,
Wc 3020a,[AB188]-DU,ab188d,,
Wc 3020b,ZO-[],z,,
,,,,
KE Wc 2a,[A703D],a703d,,
KE Wc 2b,RO-RO,rr,,
KN Wa 33a,QA-KI-[,qk,,
KN Wa 33b,NU-SE-[,ns,,
KN Wc 3,]-KA-I-TI,kit,,
KN Wc 24,,,,
KN Wc 25,KA ,k,,
MA Wc 5a,A-SA-DA-KA,asdk,,
MA Wc 5b,[AB120],ab120,,
PH Wa 32,SU-KI-[]-TA,skt,,
PH Wg 36,TE,t,,
PH Wc 37a,KA-[A314]-SO,ka314s,,
PH Wc 38,[A314]-TA-MA,a314tm,,
PH Wc 39a,JA-NA,jn,,
,YA-NA,yn,,
PH Wc 44,[AB021],ab021,,
PH Wc 46,[AB122]-[],ab122,,
PH Zb 47,[AB122],ab122,,
ZA Wc 2,A-TI-KA-A-DU-KO-MI,atkadkm,,
ARKH001a,A-SU-MI-[118],asm118,,
ARKH001a,NE-2-[A707J]-A-PA,n707ap,,
ARKH001a,MI-KI-SA-NE,mksn,,
ARKH002,SI-DA-TE-KU-RA-[AB131B],sdtkr131,,
ARKH002,A-SI-DA-TO-I,asdti,,
ARKH002,[AB079]-[A301]-SE-DE-[]-[AB118],079301sd999118,,
ARKH002,A-SU-PU-WA,aspw,,
ARKH002,RU-MI-[]-[],rm999999,,
ARKJ004a,NI-TA-,nt,,
ARKJ004a,DE-SU-[]-[AB047]-TE,su999047t,,
ARKJ004a,PI-TI-NE-A-,ru,,
ARKH004b ,RE-U,dmi047,,
ARKH004b ,DE-MI-I-[AB047],akr,,
ARKH004b ,9-A-KI-RO,zs04793,,
ARKH004b ,ZA-SI-[AB0479]-[],zs0479,,
ARKH005,A-JU-NI-TA-NA,ajntn,,
KH005,A-DA-KI-SI-KA ,adksk,,
KH005,A-RA-U-DA,arud,,
KH005,WI-SA-SA-NE-[A303],wssn303,,
KH005,[AB131B]-[],131999,,
KH005,WI-NA-DU,wnd,,
KH005,[A301]-NA ,301n,,
KH005,KU-PA-QA-[]-PA-NI,kpq999999pn,,
KH005,[A905]-[A702B],905702,,
KH007a,NE-[]-KI-[]-[]-[A624],n999k99962,,
KH007a,I-[A626]-[]-E-NA-SI,i626999ens,,
KH007a,I-JA-PA-ME,ijpm,,
KH007a,TA-TA,tt,,
KH007a,QA-TI-KI-[A808],qtk808,,
KH007a,A624-SE-[A305]-KU,624s305k,,
KH007a,[]-KO-E-[A808]-[],999ke808999,,
KH007b,U-TA-I-SE-[A624]-[A707],utis624707,,
KH007b,PA-NA-TU-[A624]-[A707],pnt624707,,
KH010,I-PA-SA-JA ,ipsj,,
KH010,QA-[AB118]-[]-A-KI-PI,q11999akp,,
KH010,E-TE-[AB120],et120,,
KH011 ,A-JU-[]-ZA-[A627]-SU,aj999z627s,,
KH011 ,[A626]-[]-[A7092L2]-[AB131A]-PA-[],626999709131p999,,
KH011 ,[A303]-[]-[A348]-[A627],3.04E+11,,
KH011 ,[A7092L2]-A-TO-[A349]-TO-I-[A626],709at349ti626,,
KH011 ,NI-[AB131A]-[]-A-TA-[A350],131at350,,
KH011 ,[A301],301,,
KH011 , []-SI-[A627]-[A7092L2],999s6277092,,
KH016,U-TA-I-SI-[A624],utis624,,
ZA004a,JA-TO-JA,jtj,,
ZA004a,A-TI-RU,atr,,
ZA004a,JA-[ ]-TU-[ ]-SE,j999t999s,,
ZA004a,QE-SI-ZU-E,qsze,,
ZA004a,[A028B]-NU-MA-RE,028nmr,,
ZA004a,SI-PI-KI,spk,,
ZA004a,E-[AB082],e082,,
ZA004a,KA-DI,kd,,
ZA005a,[AB021F]-[AB118],21118,,
ZA005a,[AB131A]-SU-KI-NI-MA,131sknm,,
ZA005a,[ ]-TA-NI-ZA-SE,999tnzs,,
ZA005a,SA-MI-DA-E,smde,,
ZA005b,[A028B]-NU-MA-RE,028nmr,,
ZA005b,SI-PI-KI,spk905,,
ZA005b,MA-KA-I-TA,mkit,,
ZA006a,[A305]-WA-NA-[AB171],305wn171,,
ZA006a,[AB034]-JU-[A574]-MI-[ ],034j574m999,,
ZA006a,[ ]-[AB076]-[A574],999076574,,
ZA006a,[ ]-[AB122],999122,,
ZA006a,TI-[ ],t999,,
ZA006a,I-SE,is,,
ZA006b,I-KU-JU-TI-[A028B]-[A574],ikjt028574,,
ZA006b,[A594],594,,
ZA006b,[ ],999,,
ZA006b,[A312]-[AB066]-[A574],312066574,,
ZA006b,PA-ZA-[ ],pz999,,
ZA006b,I-MA-[ ],im999,,
ZA007a,U-JU-SA,uks,,
ZA007a,A-RA-TU,art,,
ZA007a,A-RE-TU,art,,
ZA007b,A-MA,am,,
ZA008,KI-RA,kr,,
ZA008,A-TA-RE,atr,,
ZA008,NI-[A905],n905,,
ZA008,KU-TO-RE-[A717DD]-A-[A703D],ktr717703,,
ZA008,NI-TA-[ ]-TA-I-NU-MA,nt999tinm,,
ZA008,PA-[A905],p905,,
ZA008,MA-KA-I-SE,mkis,,
ZA008,DA-I-PI-TA,dipt905,,
ZA008,KA-I-RO,kir999,,
ZA009,NU-TI,nt,,
ZA009,ZA,z,,
ZA009,[A802]-[A512],802512,,
ZA009,SI-[A802],s802,,
ZA009,SI,s,,
ZA009,A-TA-[ ],at999,,
ZA009,[A512],512,,
ZA009,[ ]-MA-JU-[AB021F],999mj021,,
ZA009,WI-[A802]-RE-MI-TE-[AB021F],w802rmt021,,
ZA010a,TA-NA-TE,tnt,,
ZA010a,[A629],629,,
ZA010a,A-KU-MI-NA,akmn,,
ZA010a,A-TA-NA-TE,atnt,,
ZA010a,A-MI-DA-U,amdu,,
ZA010a,DA-I-PI-TA,dipt,,
ZA010a,DU-RE-ZA-SE,drzs,,
ZA010b,WA-[A362],w362,,
ZA010b,DU-RE-ZA-SE-[AB131B],drzs131,,
ZA010b,U-[AB049],u049,,
ZA010b,MA-ZA,mz,,
ZA010b,MA-KI-DE-TE,mkdt,,
ZA010b,SA-MA,sm,,
ZA010b,A-DE,ad,,
ZA010b,A-MI-TA,amt,,
ZA010b,[AB076]-RO-RE,076rr,,
ZA010b,PA-JA-RE,pjr,,
ZA010b,KA-KU-NE-TE-[A905],kknt905,,
ZA010b,TA-[ ]-DU,t999d,,
ZA011a,DI-DI-KO-RA-ME-[ ]-[AB066]-[ ],ddkrm999066999,,
ZA011a,[A574]-[ ],574999,,
ZA011a,RA-MA-SI-[ ],rms999,,
ZA011a,E-KU-RU-[ ],ekr999,,
ZA011a,[ ]-JU-[A742LL2]-[AB131A]-[A707J]-[A555],999j742131707555,,
ZA011a,KU-PA,kp,,
ZA011a,[ ],999,,
ZA011a,PI-[A310]-A,p310a,,
ZA011b,E-TO-RI-I,etri,,
ZA011b,SA-[A301]-RI,s301r,,
ZA011b,[A574],574,,
ZA011b,[ ]-[AB122],999122,,
ZA011b,I-DE,id,,
ZA011b,RA,r,,
ZA011b,KU-[ ]-[A574],k999574,,
ZA014,ME-KI-DI,mkd,,
ZA014,[ ]-[AB118],999118,,
ZA014,PU-[ ]-[A363],p999363,,
ZA014,QA-TI-JU,qtj,,
ZA014,KU-PI,kp,,
ZA014,TU-MI-TA-ZA-SE,tmtzs,,
ZA014,PA-NU-QE,pnq,,
ZA014,JA-WI,jw,,
ZA015a,[AB047]-KU-NA-SA-[AB131A],047kns131,,
ZA015a,QE-SI-ZU-E,qsze,,
ZA015a,I-E-NI-SA,iens,,
ZA015a,ME-[AB131A],m131,,
ZA015a,MI-ZA-SE,mzs,,
ZA015a,[A028B]-NU-MA-RE,028nmr,,
ZA015a,SI-[ ]-KI,s999k905,,
ZA015a,JA-SA-[ ],js999,,
ZA015a,SA-KI-DA-E,skde,,
ZA015a,[A364]-KE-MA-SE,364kms,,
ZA015b,KA-DI,kd,,
ZA015b,[AB131A],131,,
ZA015b,KU-RO,kr,,
ZA015b,[AB131A],131,,
ZA015b,[A594],594,,
ZA018a,DA-RE-KU-[ ]-KU-[ ],drk999k999,,
ZA018a,[A574],574,,
ZA018a,[A618],618,,
ZA020,DU-[ ]-ZA,d999z,,
ZA020,SE-MI-[ ],sm999,,
ZA020,SI-TE-TU,stt,,
ZA020,SI-TU,st,,
ZA020,TE-[AB123],t123,,
ZA020,RU-MA-TA-SE,rmts,,
ZA020,KU-RA,kr,,
ZA021a,[ ]-ME,999m,,
ZA021a,PI-[ ],p999,,
ZA021a,[ ],999,,
ZA021a,TA-KE,tk,,
ZA021a,MA-[ ],m999,,
ZA021a,[ ]-5,999,,
ZA021a,TA-MA-PI,tmp,,
ZA021a,A-[ ]-[AB118]-MI,a999118m,,
ZA026a,[ ]-TE,999t,,
ZA026a,DI-DI,dd,,
ZA026a,[ ]-[AB021F],999021,,
ZA026a,[AB021F],21,,
ZA026a,JA-KI,jk,,
AP ZA 1 ,JA-TA-I[A301]-U-JA,jti301uj,,
AP ZA 1 ,YA-TA-I-[A301]-U-YA,yti301uy,,
AP ZA 2,NA-SI,ns,,
AP ZA 2,I-PI-NA-MA-[]-I-KU-PA-NA-TU-NA-TE,ipnm999999999ikpntnt,,
AP ZA 2,PI-MI-NA-TE,pmnt,,
AP ZA 2,I-NA-JA-RE-TA-[]-QA,injrt999999999q,,
AP ZA 2,I-NA-YA-RE-TA-[]-QA,inyrt999999999q,,
IO ZA 1,A-JE-SA,ajs,,
IO ZA 1,A-YE-SA,ays,,
IO ZA 2,A-TA-I-[A301]-WA-JA ,ati301wj,,
IO ZA 2,A-TA-I-[A301]-WA-YA,ati301wy,,
IO ZA 2,JA-DI-KI-TU ,jdkt,,
IO ZA 2,YA-DI-KI-TU  ,ydkt,,
IO ZA 2,JA-SA-SA-RA-[]-SI ,jssr999999999s,,
IO ZA 2,YA-SA-SA-RA-[]-SI ,yssr999999999s,,
IO ZA 2,I-PI-NA-MA,ipnm,,
IO ZA 2,I-PI-NA-MA,srt,,
IO ZA 2,TA-NA-RA-TE-U-TI-NU ,tnrtutn,,
IO ZA 2,I-DA,id,,
IO ZA 3,A-TA-I-[A301]-WA-JA ,ati301wj,,
IO ZA 3,A-TA-I-[A301]-WA-YA ,ati301wy,,
IO ZA 3,AU,au,,
IO ZA 4,[A301]-WA,301w,,
IO ZA 5,I-JA-RE-DI-JA ,ijrdj,,
IO ZA 5,I-YA-RE-DI-YA ,iyrdy,,
IO ZA 5,I-JA-PA,ijp,,
IO ZA 5,I-YA-PA,iyp,,
IO ZA 6,TA-NA-I-[A301]-U-TI-NU ,tni301utn,,
IO ZA 6,TA-NA-I-[A301]-U-TI-NU ,tni301utn,,
IO ZA 6,I-NA-TA-I-ZU-DI-SI-KA ,intizdsk,,
IO ZA 6,JA-SA-SA-RA-ME,jssrm ,,
IO ZA 6,YA-SA-SA-RA-ME,yssrm ,,
IO ZA 7,A-TA-I-[A301]-WA-JA ,ati301wj,,
IO ZA 7,A-TA-I-[A301]-WA-YA ,ati301wy,,
IO ZA 7,JA-TI-[A321],jt321,,
IO ZA 7,YA-TI-[A321],yt321,,
IO ZA 8,] A-NA-TI-[A301]-WA-JA,ant301wj,,
IO ZA 8,] A-NA-TI-[A301]-WA-YA,ant301wy,,
IO ZA 9,JA-SA-SA-[ ,jss,,
IO ZA 9,YA-SA-SA,yss,,
IO ZA 9,U-NA-KA,unk,,
IO ZA 11,NA-[]-DA-DA-[],n999dd999999999,,
IO ZA 11,U-TI-NU,utn,,
IO ZA 11,I-NA-I-DA,inid,,
IO ZA 11,[],,,
IO ZA 12,JA-SA-SA-RA-ME ,jssrm,,
IO ZA 12,YA-SA-SA-RA-ME,yssrm,,
IO ZA 12,I-TI,it,,
IO ZA 13,[]-MA-I,999mi,,
IO ZA 14,RU-TE ,rt,,
IO ZA 14,I-DI,id,,
IO ZA 15,I-PI-NA-MA ,ipnm,,
IO ZA 15,SI-RU,sr,,
IO ZA 16,[A123],123,,
IO ZA 16,[A123]  ,123,,
IO ZA 16,JA-SA-SA-RA-ME ,jssrm,,
IO ZA 16,YA-SA-SA-RA-ME,yssrm,,
IO ZA 16,U-NA-RU-KA,unrk,,
KN ZA 10,TA-NU-MU-TI ,tnmt,,
KN ZA 10,TA-NU-MU-TI ,tnmt,,
KN ZA 10,JA-SA-SA-RA-MA,jssrm,,
KN ZA 10,YA-SA-SA-RA-MA,yssrm,,
KN ZA 10,NA ,n,,
KN ZA 10,DA-WA-[]-DU-WA-TO,dw999dwt,,
KN ZA 10,I-JA,ij,,
KN ZA 10,I-YA,iy,,
KN ZA 17,JA-QE ,jq,,
KN ZA 17,YA-QE ,yq,,
KN ZA 18,JA ,j,,
KN ZA 18,YA ,y,,
KN ZA 18,JA ,999999999j,,
KN ZA 18,YA ,999999999y,,
KN ZA 18,JA-WA,jw,,
KN ZA 18,YA-WA,yw,,
KN ZA 19,KE-JU-MI,kjm,,
KN ZA 19,KE-YU-MI,kym,,
KN ZA 19,[AB118]-MI-NA,188mn,,
KY ZA 2,DA-MA-TE,dmt,,
PK ZA 4,A-SA-SA-RA,assrm,,
PK ZA 4,NU ,n,,
PK ZA 4,[PA3]-E,pe,,
PK ZA 8,JA-DI-KI-TE-TE-[A307]-PU2-RE ,jdktt307pur,,
PK ZA 8,YA-DI-KI-TE-TE-[A307]-PU2-RE ,ydktt307pur,,
PK ZA 8,TU-ME-I,tmi,,
PK ZA 8,JA-SA-[]U-NA-KA-NA-SI,js999999999unkns,,
PK ZA 8,YA-SA-[]U-NA-KA-NA-SI,ys999999999unkns,,
PK ZA 8,I-PI,ip,,
PK ZA 9,JA-U-PA-MA-I-DA-[A301]-DI,jupmid301d,,
PK ZA 9,YA-U-PA-MA-I-DA-[A301]-DI,yupmid301d,,
PK ZA 10,SI ,s,,
PK ZA 10,I-PI-NA-MI-NA ,ipnmn,,
PK ZA 10,SI-RU,sr,,
PK ZA 11,A-TA-I-[A301]-WA-E ,ati301we,,
PK ZA 11,A-DI-KI-TE-TE-DU,adkttd,,
PK ZA 11,PU-RE ,pr,,
PK ZA 11,PI-TE-RI ,ptr,,
PK ZA 11,A-KO-A-NE ,akan,,
PK ZA 11,A-SA-SA-RA-ME ,assrm,,
PK ZA 11,U-NA-RU-KA-NA-TI ,unrknt,,
PK ZA 11,I-PI-NA-MI-NA ,ipnmn,,
PK ZA 11,SI-RU-DU ,srd,,
PK ZA 11,I-NA-JA-PA-QA,injpq,,
PK ZA 11,I-NA-YA-PA-QA,inypq,,
PK ZA 12,A-TA-I-[A301]-WA-JA ,ati301wj,,
PK ZA 12,A-TA-I-[A301]-WA-YA ,ati301wy,,
PK ZA 12,A-DI-KI-TE,adkt999999,,
PK ZA 12,SI-RU-[]-RA-ME,999999sr999999999999rm,,
PK ZA 12,A-[]-A-NE ,a999an,,
PK ZA 12,U-NA-RU-KA-NA-JA-SI ,unrknjs,,
PK ZA 12,A-PA-DU-PA-[]-JA-[]-JA-PA-QA,apdp999999999999999j999999jpq,,
PK ZA 12,A-PA-DU-PA-[]-YA-[]-YA-PA-QA,apdp999999999999999y999999ypq,,
PK ZA 14,TU-ME-I,tmi,,
PK ZA 14,JA-SA-SA,jss,,
PK ZA 14,YA-SA-SA,yss,,
PK ZA 15,JA ,j,,
PK ZA 15,YA ,y999ydkttdpr,,
PK ZA 15,JA-DI-KI-TE-TE-DU-[PU2]-RE,jdkttdpr,,
PK ZA 15,YA-DI-KI-TE-TE-DU-[PU2]-RE,ydkttdpr,,
PK ZA 16,TO-SA,ts,,
PK ZA 16,PU2-RE-JA-[] ,prj999999,,
PK ZA 16,PU2-RE-YA-[] ,pry999999,,
PK ZA 17,I-DA ,id,,
PK ZA 17,[],999,,
PK ZA 18,TE ,t,,
PK ZA 18,I-DA,id ,,
PK ZA 18,JA-JA,jj,,
PK ZA 18,YA-YA,yy,,
PK ZA 20,U-NA-KA,unk,,
PR ZA 1,TA-NA-SU-TE-[]-KE,tnst999k,,
PR ZA 1,SE-TO-I-JA,stij,,
PR ZA 1,SE-TO-I-YA,stiy,,
PR ZA 1,A-SA-SA-RA-ME,assrm,,
PS ZA 2,RE-I-KE,rik,,
PS ZA 2,TA-NA-I-]A301]-TI,tni301t,,
PS ZA 2,JA-T ,,,
PS ZA 2,YA-T ,,,
PS ZA 2,JA-SA-SA-RA-ME,jssrm,,
PS ZA 2,YA-SA-SA-RA-ME,yssrm,,
SY ZA 1,A-TA-I-[A301]-WA-JA ,ati301wj,,
SY ZA 1,A-TA-I-A301-WA-YA ,ati301wy,,
SY ZA 1,I-DA-MI,idm,,
SY ZA 1,JA,j,,
SY ZA 1,YA,y,,
SY ZA 2,A-TA-I-[A301]-WA-JA ,ati301wj,,
SY ZA 2,A-TA-I-[A301]-WA-YA,ati301wy,,
SY ZA 2,JA-SU-MA-TU-[AB122] ,jsmt301,,
SY ZA 2,YA-SU-MA-TU-[AB122],ysmt301,,
SY ZA 2,U-NA-KA-NA-SI-[A302],unkns302,,
SY ZA 2,A-JA,aj ,,
SY ZA 2,A-YA,ay ,,
SY ZA 2,A-TA-I-[A301]-WA-[] []-SE-KA-NA-SI-[]-TE-[]SI-RU-TE,ati301w[8 signs][999999999]skns[999]t[10 signs]srt,,
SY ZA 4,A-TA-I-[A301]-WA-JA ,ati301wj,,
SY ZA 4,A-TA-I-[A301]-WA-YA,ati301wy,,
SY ZA 4,JA-I-[AB048]-ZA,ji048z,,
SY ZA 4,YA-I-[AB048]-ZA,yi048z,,
SY ZA 4,[PA3]-NI-WI,pnw,,
SY ZA 5,MI-JA ,mj,,
SY ZA 5,MI-YA ,my,,
SY ZA 5,JA-WA-[PA3],jwp,,
SY ZA 5,YA-WA-[PA3],ywp,,
SY ZA 6,DA-SE-RA-TE,dsrt,,
SY ZA 8,I-[A301]-WA-JA ,i301wj,,
SY ZA 8,I-A301-WA-YA ,i301wy,,
SY ZA 8,JA-JA,jj,,
SY ZA 8,YA-YA,yy,,
SY ZA 9,JA-PA-RA-JA-SE,jprjs,,
SY ZA 9,YA-PA-RA-YA-SE,yprys,,
SY ZA 10,QA-SA-RA-KU,qsrk,,
SY ZA 11,QA-RO ,qr,,
SY ZA 12,A,a,,
TR ZA 1,A-TA-I-[A301]-WA-JA ,ati301wj,,
TR ZA 1,A-TA-I-[A301]-WA-YA ,ati301wy,,
TR ZA 1,O-SU-QA-RE ,osqr,,
TR ZA 1,JA-SA-SA-RA-ME ,jssrm,,
TR ZA 1,YA-SA-SA-RA-ME ,yssrm,,
TR ZA 1,U-NA-KA-NA-SI,unkns,,
TR ZA 1,NA-MA  ,nm,,
TR ZA 1,SI-RU ,sr,,
HT Wa 1733 + 1845,[A301],a301,,
HT Wc 3022,,,,
HS Zg 1,A-MA,am,,
IO Za 2,A-TA-I-[A301]-WA-JA,atia301wj,,
IO Za 2,JA-DI-KI-TU,jdkt,,
IO Za 2,JA-SA-SA-RA-ME,jssrm,,
IO Za 2,U-NA-KA-NA-SI,unkns,,
IO Za 2,I-PI-NA-MA,ipnm,,
IO Za 2,SI-RU-TE,srt,,
IO Za 2,TA-NA-RA-TE-U-TI-NU,tnrtutn,,
IO Za 2,I-DA,id,,
IO Za 3,,,,
IO Za 3,[AB085]-[,ab085,,
IO ZA 4,]-[A301]-WA-[,a301w,,
IO ZA 5,]-I-JA-RE-DI-JA,ijrdj,,
IO ZA 5,]-I-YA-RE-DI-JA,iyrdj,,
IO ZA 5,I-JA-PA-[,ijp,,
IO ZA 5,I-YA-PA-[,iyp,,
IO Za 6,TA-NA-I-[A301]-U-TI-NU,tnia301utn,,
IO Za 6,I-NA-TA-I-ZO-DI-SI-KA,intizdsk,,
IO Za 6,JA-SA-SA-RA-ME,jssrm,,
IO Za 7,A-TA-I-[A301]-WA-JA,atia301wj,,
IO Za 7,A-TA-I-[A301]-WA-YA,atia301wy,,
IO Za 7,JA-TI-[A321]-[,jta321,,
IO Za 7,YA-TI-[A321]-[,yta321,,
IO Za 8,]-A-NA-TI-[A301]-WA-JA-[,anta301wj,,
IO Za 8,]-A-NA-TI-[A301]-WA-YA-[,anta301wy,,
IO Za 9,U-NA-KA-NA-SI,unkns,,
IO Za 9,JA-SA-SA-RA-ME,jssrm,,
IO Zb 10,]-A-SA-SA-RA-ME,assrm,,
KH 79 + 89,]-MI-NA-[,mn,,
KH 79 + 89,]-PA-TA,pt,,
KH 79 + 89,A-RA-[,ar,,
KH 79 + 89,]-PA-DA-NI,pdn,,
KH 88,QA-NU-MA,qnm,,
KH 88,[AB021F]-[AB118],ab021fab118,,
KH 88,NI,n,,
KH 88,PU-DE,pd,,
KH 90,[]-JA-[,j,,
KH 90,[]-YA-[,y,,
KH 90,MA-TA-RI-TA-[,mtrt,,
KH 91,[AB120],ab120,,
KH 91,ZO-[,z,,
KH 91,]-PA,p,,
KH 91,TU,t,,
KH 91,NI,n,,
KH 91,]-[A651],a651,,
KH 91,[A652]-[,a652,,
KH Wc 2044 + fr,[AB164],ab164,,
KH Wc 2115,O ,o,,
KH Wc 2118,O ,o,,
MA 10,]-RU,r,,
MA 10,[A660],a660,,
MA 10,[A658],a658,,
MA 10,[A659],a659,,
MA 10,]DU-PI-TE-WA,dptw,,
MA 10,[A655],a655,,
MA 10,[A658],a658,,
MA 10,[A654],a654,,
MA 10,[A412-VAS],a412vas,,
MA 10,[A658],a658,,
MA 10,[A655],a655,,
MA 10,[A662],a662,,
MI 2,PU-[,p,,
MI 2,]-DU-KA-[,dk,,
MI 2,[A652]-[,a652,,
MI 2,]-KA-[,k,,
PYR 2,]-TI-[,t,,
SY Za 1,A-TA-I-[A301]-WA-JA,atia301wj,,
SY Za 1,I-DA-MI,idm,,
SY Za 1,JA-[,j,,
SY Za 2,A-TA-I-[A301]-WA-JA,atia301wj,,
SY Za 2,JA-SU-MA-TU,jsmt,,
SY Za 2,YA-SU-MA-TU,ysmt,,
SY Za 2,U-NA-KA-NA-SI,unakns,,
SY Za 2,A-JA,aj,,
