Table 1
Identical Matches,Dictionary Word,Linear A word,Frequency,Percentage(%)
ws,"['-', '-', ['wasu'], '-', '-', '-', ['waas', 'was', 'wasa']]","['-', '-', ['WISA'], '-', '-', '-', ['WS']]","[['-'], ['-'], [1], ['-'], ['-'], ['-'], [1]]","[[['-'], ['-'], [50.0], ['-'], ['-'], ['-'], [50.0]]]"
dr,"['-', '-', '-', ['adar'], '-', ['adaru'], ['dar', 'der', 'dir', 'dur']]","['-', '-', '-', ['DARE'], '-', ['DARE'], ['DR']]","[['-'], ['-'], ['-'], [3], ['-'], [3], [4]]","[[['-'], ['-'], ['-'], [30.0], ['-'], [30.0], [40.0]]]"
z,"['-', '-', '-', ['aize'], '-', ['z'], '-']","['-', '-', '-', ['ZO[', 'ZA', 'ZO[]'], '-', ['ZO[', 'ZA', 'ZO[]'], '-']","[['-'], ['-'], ['-'], [1, 1, 1], ['-'], [1, 1, 1], ['-']]","[[['-'], ['-'], ['-'], [16.7, 16.7, 16.7], ['-'], [16.7, 16.7, 16.7], ['-']]]"
nr,"['-', '-', '-', ['anari'], ['anar'], ['narui'], ['niar']]","['-', '-', '-', ['NURE', 'NIRA'], ['NURE', 'NIRA'], ['NURE', 'NIRA'], ['NR']]","[['-'], ['-'], ['-'], [1, 1], [1, 1], [1, 1], [2]]","[[['-'], ['-'], ['-'], [12.5, 12.5], [12.5, 12.5], [12.5, 12.5], [25.0]]]"
rd,"['-', '-', '-', ['ardi'], '-', ['arad'], ['rad', 'rado', 'rid']]","['-', '-', '-', ['RUDI'], '-', ['RUDI'], ['RD']]","[['-'], ['-'], ['-'], [1], ['-'], [1], [1]]","[[['-'], ['-'], ['-'], [33.3], ['-'], [33.3], [33.3]]]"
rr,"['-', '-', '-', ['arri'], ['arr'], ['rarau'], '-']","['-', '-', '-', ['RORO', 'RARI'], ['RORO', 'RARI'], ['RORO', 'RARI'], '-']","[['-'], ['-'], ['-'], [1, 1], [1, 1], [1, 1], ['-']]","[[['-'], ['-'], ['-'], [16.7, 16.7], [16.7, 16.7], [16.7, 16.7], ['-']]]"
dn,"['-', '-', '-', ['dan'], '-', ['daina'], ['dan', 'den', 'din', 'don', 'dun', 'dVn']]","['-', '-', '-', ['DENU'], '-', ['DENU'], ['DN']]","[['-'], ['-'], ['-'], [1], ['-'], [1], [1]]","[[['-'], ['-'], ['-'], [33.3], ['-'], [33.3], [33.3]]]"
k,"['-', '-', '-', ['eke'], '-', '-', ['ka', 'ka', 'ke', 'kie', 'ko', 'ku']]","['-', '-', '-', ['KA'], '-', '-', ['K']]","[['-'], ['-'], ['-'], [3], ['-'], ['-'], [4]]","[[['-'], ['-'], ['-'], [42.9], ['-'], ['-'], [57.1]]]"
n,"['-', '-', '-', ['ini'], ['eno'], ['an'], ['na']]","['-', '-', '-', ['NI'], ['NI'], ['NI'], ['N']]","[['-'], ['-'], ['-'], [7], [7], [7], [11]]","[[['-'], ['-'], ['-'], [21.9], [21.9], [21.9], [34.4]]]"
rn,"['-', '-', '-', ['orein'], '-', ['arin'], '-']","['-', '-', '-', ['RUNI', 'RONI', 'RUNA'], '-', ['RUNI', 'RONI', 'RUNA'], '-']","[['-'], ['-'], ['-'], [1, 1, 1], ['-'], [1, 1, 1], ['-']]","[[['-'], ['-'], ['-'], [16.7, 16.7, 16.7], ['-'], [16.7, 16.7, 16.7], ['-']]]"
sdr,"['-', '-', '-', ['sudur'], '-', '-', '-']","['-', '-', '-', ['SIDARE'], '-', '-', '-']","[['-'], ['-'], ['-'], [2], ['-'], ['-'], ['-']]","[[['-'], ['-'], ['-'], [100.0], ['-'], ['-'], ['-']]]"
sr,"['-', '-', '-', ['sur'], ['suru'], ['siriu'], ['sar', 'ser', 'sur', 'surV', 'suVr']]","['-', '-', '-', ['SARA'], ['SARA'], ['SARA'], ['SR']]","[['-'], ['-'], ['-'], [7], [7], [7], [24]]","[[['-'], ['-'], ['-'], [15.6], [15.6], [15.6], [53.3]]]"
rt,"['-', '-', '-', ['urte'], ['art'], ['erete'], '-']","['-', '-', '-', ['RETU', ']RUTE', 'RETI'], ['RETU', ']RUTE', 'RETI'], ['RETU', ']RUTE', 'RETI'], '-']","[['-'], ['-'], ['-'], [1, 1, 1], [1, 1, 1], [1, 1, 1], ['-']]","[[['-'], ['-'], ['-'], [11.1, 11.1, 11.1], [11.1, 11.1, 11.1], [11.1, 11.1, 11.1], ['-']]]"
rz,"['-', '-', '-', ['urzo'], '-', ['riza'], '-']","['-', '-', '-', ['REZA'], '-', ['REZA'], '-']","[['-'], ['-'], ['-'], [2], ['-'], [2], ['-']]","[[['-'], ['-'], ['-'], [50.0], ['-'], [50.0], ['-']]]"
tr,"['-', '-', '-', '-', ['atr'], ['tare'], ['tar', 'taur', 'ter', 'tir', 'tor', 'tur', 'tVr']]","['-', '-', '-', '-', ['TARA', 'TERI'], ['TARA', 'TERI'], ['TR']]","[['-'], ['-'], ['-'], ['-'], [1, 1], [1, 1], [2]]","[[['-'], ['-'], ['-'], ['-'], [16.7, 16.7], [16.7, 16.7], [33.3]]]"
sd,"['-', '-', '-', '-', ['sed'], ['sadu'], ['sad', 'sado']]","['-', '-', '-', '-', ['SADI', 'SUDU'], ['SADI', 'SUDU'], ['SD']]","[['-'], ['-'], ['-'], ['-'], [1, 1], [1, 1], [2]]","[[['-'], ['-'], ['-'], ['-'], [16.7, 16.7], [16.7, 16.7], [33.3]]]"
