name,site,support,context,scribe,findspot,parsedInscription,transcription,translatedWords,transliteratedWords,words
"KH46","Khania","Tablet","LMIB","","","𐝫 𐝫 𐝫𐝋 𐙍𐝫 𐝫","𐝫 𐝫 𐝫𐝋𐙍𐝫 𐝫","𐝫| |𐝫| |𐝫𐝋| |wine| |𐝫","𐝫| |𐝫| |𐝫𐝋| |VIN| |𐝫","𐝫| |𐝫| |𐝫𐝋| |𐙍𐝫| |𐝫"
"KH47","Khania","Tablet","LMIB","","","𐝫 𐝫𐘌𐘗𐝫 𐝫𐄌 𐘤𐝫 𐝫𐘴𐄁𐙚𐝫","𐝫 𐝫𐘌𐘗𐝫 𐝫𐄌𐘤𐝫 𐘴𐄁𐙚𐝫","𐝫| |QA-NE| |6| |SI| |RA|𐄁|*306","𐝫| |QA-NE| |6| |SI| |RA|𐄁|*306","𐝫| |𐝫𐘌𐘗𐝫| |𐝫𐄌| |𐘤𐝫| |𐝫𐘴|𐄁|𐙚𐝫"
"KH49","Khania","Tablet","LMIB","KH Scribe 1","","𐝫 𐝫𐘘𐝫 𐝫𐙂𐝫 𐝫","𐝫 𐝫𐘘𐝫 𐝫𐙂𐝫 𐝫","𐝫| |RU| |KU| |𐝫","𐝫| |RU| |KU| |𐝫","𐝫| |𐝫𐘘𐝫| |𐝫𐙂𐝫| |𐝫"
"KH50","Khania","Tablet","LMIB","","","𐝫 𐝫𐘳𐄈 𐝫𐘧𐄈 𐘿𐝫𐄁𐝫𐄇 — —","𐝫 𐝫𐘳𐄈 𐝫𐘧𐄈𐘿𐝫𐄁𐝫𐄇 — —","𐝫| |TA|2| |3/4|2| |QE|𐄁| | |1|—|—","𐝫| |TA|2| |JE|2| |QE|𐄁| | |1|—|—","𐝫| |𐝫𐘳|𐄈| |𐝫𐘧|𐄈| |𐘿𐝫|𐄁| | |𐄇|—|—"
"KH51","Khania","Tablet","LMIB","KH Scribe 4","","𐝫𐘤𐘚𐘤𐄉 𐝫𐄊 𐘹𐝫 𐝫","𐝫𐘤𐘚𐘤𐄉 𐝫𐄊𐘹𐝫 𐝫","SI-I-SI|3| |4| |TU| |𐝫","SI-I-SI|3| |4| |TU| |𐝫","𐝫𐘤𐘚𐘤|𐄉| |𐝫𐄊| |𐘹𐝫| |𐝫"
"KH52","Khania","Tablet","LMIB","","","𐝫 𐝫 𐝫𐘳𐘉𐝫 𐝫","𐝫 𐝫 𐝫𐘳𐘉𐝫 𐝫","𐝫| |𐝫| |TA-U| |𐝫","𐝫| |𐝫| |TA-U| |𐝫","𐝫| |𐝫| |𐝫𐘳𐘉𐝫| |𐝫"
"KH53","Khania","Tablet","LMIB","","","𐝫𐘇𐘋𐙌𐄁 𐘗𐝫 𐝫","𐝫𐘇𐘋𐙌𐄁𐘗𐝫 𐝫","A-ME-AROM|𐄁| |NE| |𐝫","A-ME-AROM|𐄁| |NE| |𐝫","𐝫𐘇𐘋𐙌|𐄁| |𐘗𐝫| |𐝫"
"KH54","Khania","Tablet","LMIB","KH Scribe 1","","𐝫𐜚𐄇 𐙉𐝫𐄇𐝫 𐝫 𐝫","𐝫𐜚𐄇𐙉𐝫𐄇𐝫 𐝫 𐝫","cyperus|1| |grain|1| |𐝫| |𐝫","CYP+E|1| |GRA|1| |𐝫| |𐝫","𐝫𐜚|𐄇| |𐙉𐝫|𐄇𐝫| |𐝫| |𐝫"
"KH55","Khania","Tablet","LMIB","","","𐝫 𐝫 𐜐𐝁𐝫 𐄉𐝫 𐘝𐝫 𐝫","𐝫 𐝫 𐜐𐝁𐝫 𐝫𐄉𐘝𐝫 𐝫","𐝫| |𐝫| |olive oil|¹⁄₃| |3| |figs| |𐝫","𐝫| |𐝫| |OLE+TA|¹⁄₃| |3| |NI| |𐝫","𐝫| |𐝫| |𐜐|𐝁𐝫| |𐄉𐝫| |𐘝𐝫| |𐝫"
"KH56","Khania","Tablet","LMIB","","","𐝫𐝕𐝉𐝫 𐝫 𐝫","𐝫𐝕𐝉𐝫 𐝫 𐝫","𐝫𐝕𐝉𐝫| |𐝫| |𐝫","𐝫𐝕𐝉𐝫| |𐝫| |𐝫","𐝫𐝕𐝉𐝫| |𐝫| |𐝫"
"KH57","Khania","Tablet","LMIB","KH Scribe 4","","𐝫 𐝫𐘹𐝫 𐝫𐘎𐄇𐝫 𐝫𐙗𐝫𐝃𐝫 𐝫","𐝫 𐝫𐘹𐝫 𐝫𐘎𐄇𐝫 𐝫𐙗𐝫𐝃𐝫 𐝫","𐝫| |TU| |ZO|1| |cyperus|¹⁄₄| |𐝫","𐝫| |TU| |ZO|1| |CYP|¹⁄₄| |𐝫","𐝫| |𐝫𐘹𐝫| |𐝫𐘎|𐄇𐝫| |𐝫𐙗𐝫|𐝃𐝫| |𐝫"
"KH58","Khania","Tablet","LMIB","KH Scribe 1","","𐝫 𐝫 𐝫𐙗𐝫𐄊 𐘝𐝫 𐝫𐜚𐄇𐝃 𐘇𐝫 𐝫𐜚𐄊𐝫 𐝫𐙗𐝫𐝆 𐘇𐙕𐝫","𐝫 𐝫 𐝫𐙗𐝫𐄊𐘝𐝫 𐝫𐜚𐄇𐝃𐘇𐝫 𐝫𐜚𐄊𐝫 𐝫𐙗𐝫𐝆𐘇𐙕𐝫","𐝫| |𐝫| |cyperus|4| |figs| |cyperus|1|¹⁄₄| |A| |cyperus|4| |cyperus|¹⁄₂| |A-*301","𐝫| |𐝫| |CYP|4| |NI| |CYP+E|1|¹⁄₄| |A| |CYP+E|4| |CYP|¹⁄₂| |A-*301","𐝫| |𐝫| |𐝫𐙗𐝫|𐄊| |𐘝𐝫| |𐝫𐜚|𐄇|𐝃| |𐘇𐝫| |𐝫𐜚|𐄊𐝫| |𐝫𐙗𐝫|𐝆| |𐘇𐙕𐝫"
"KH59","Khania","Tablet","LMIB","","","𐝫 𐝫𐄇 𐝫𐘚𐄋 𐝫𐘆𐘅𐄋 𐝫","𐝫 𐝫𐄇 𐝫𐘚𐄋 𐝫𐘆𐘅𐄋 𐝫","𐝫| |1| |I|5| |DI-NA|5| |𐝫","𐝫| |1| |I|5| |DI-NA|5| |𐝫","𐝫| |𐝫𐄇| |𐝫𐘚|𐄋| |𐝫𐘆𐘅|𐄋| |𐝫"
"KH60","Khania","Tablet","LMIB","KH Scribe 1","","𐝫𐘴𐘸𐘳𐘅𐘤𐝫 𐝫𐙏𐝍 𐘷𐙗𐝫 𐝫𐝂 𐛚𐝂𐝫 𐝫 𐝫","𐝫𐘴𐘸𐘳𐘅𐘤𐝫 𐝫𐙏𐝍𐘷𐙗𐝫 𐝫𐝂𐛚𐝂𐝫 𐝫 𐝫","RA-KI-TA-NA-SI| |vinegar|𐝍| |TA₂-CYP| |¹⁄₅| |liquid?|¹⁄₅| |𐝫| |𐝫","RA-KI-TA-NA-SI| |*131C|𐝍| |TA₂-CYP| |¹⁄₅| |MI+JA+RU|¹⁄₅| |𐝫| |𐝫","𐝫𐘴𐘸𐘳𐘅𐘤𐝫| |𐝫𐙏|𐝍| |𐘷𐙗𐝫| |𐝫𐝂| |𐛚|𐝂𐝫| |𐝫| |𐝫"
"KH61","Khania","Tablet","LMIB","KH Scribe 1","","𐝫 𐝫𐄑𐝫 𐝫𐄇 𐙁𐝫 𐝫𐝁 𐜐𐝉𐝫 𐝫𐙗𐝫𐄈 𐙉𐄇𐝍","𐝫 𐝫𐄑𐝫 𐝫𐄇𐙁𐝫 𐝫𐝁𐜐𐝉𐝫 𐝫𐙗𐝫𐄈𐙉𐄇𐝍","𐝫| |20| |1| |MA| |¹⁄₃| |olive oil|𐝉𐝫| |cyperus|2| |grain|1|𐝍","𐝫| |20| |1| |MA| |¹⁄₃| |OLE+TA|𐝉𐝫| |CYP|2| |GRA|1|𐝍","𐝫| |𐝫𐄑𐝫| |𐝫𐄇| |𐙁𐝫| |𐝫𐝁| |𐜐|𐝉𐝫| |𐝫𐙗𐝫|𐄈| |𐙉|𐄇|𐝍"
"KH62","Khania","Tablet","LMIB","KH Scribe 1","","𐝫 𐝫𐙁𐝫","𐝫 𐝫𐙁𐝫","𐝫| |MA","𐝫| |MA","𐝫| |𐝫𐙁𐝫"
"KH63","Khania","Tablet","LMIB","","","𐝫 𐝫𐘲𐄐𐝫 𐝫𐜩𐝉𐝫 𐝫","𐝫 𐝫𐘲𐄐𐝫 𐝫𐜩𐝉𐝫 𐝫","𐝫| |SU|10| |*401+RU|𐝉𐝫| |𐝫","𐝫| |SU|10| |*401+RU|𐝉𐝫| |𐝫","𐝫| |𐝫𐘲|𐄐𐝫| |𐝫𐜩|𐝉𐝫| |𐝫"
"KH64","Khania","Tablet","LMIB","","","𐝫 𐝫𐘳𐝫 𐝫 𐝫","𐝫 𐝫𐘳𐝫 𐝫 𐝫","𐝫| |TA| |𐝫| |𐝫","𐝫| |TA| |𐝫| |𐝫","𐝫| |𐝫𐘳𐝫| |𐝫| |𐝫"
"KH65","Khania","Tablet","LMIB","","","𐝫 𐝫𐘝𐝫 𐝫","𐝫 𐝫𐘝𐝫 𐝫","𐝫| |figs| |𐝫","𐝫| |NI| |𐝫","𐝫| |𐝫𐘝𐝫| |𐝫"
"KH66","Khania","Tablet","LMIB","","","𐝫𐄒𐝫 𐝫","𐝫𐄒𐝫 𐝫","30| |𐝫","30| |𐝫","𐝫𐄒𐝫| |𐝫"
"KH67","Khania","Tablet","LMIB","","","𐝫 𐝫 𐝫𐄇𐝫 𐝫","𐝫 𐝫 𐝫𐄇𐝫 𐝫","𐝫| |𐝫| |1| |𐝫","𐝫| |𐝫| |1| |𐝫","𐝫| |𐝫| |𐝫𐄇𐝫| |𐝫"
"KH68+71","Khania","Tablet","LMIB","","","𐝫 𐝫𐜨𐝉𐝫 𐝫 𐝫","𐝫 𐝫𐜨𐝉𐝫 𐝫 𐝫","𐝫| |*401+[ ]|𐝉𐝫| |𐝫| |𐝫","𐝫| |*401+[ ]|𐝉𐝫| |𐝫| |𐝫","𐝫| |𐝫𐜨|𐝉𐝫| |𐝫| |𐝫"
"KH69","Khania","Tablet","LMIB","","","𐝫 𐝫 𐝫","𐝫 𐝫 𐝫","𐝫| |𐝫| |𐝫","𐝫| |𐝫| |𐝫","𐝫| |𐝫| |𐝫"
"KH70","Khania","Tablet","LMIB","","","𐝫 𐝫 𐝫","𐝫 𐝫 𐝫","𐝫| |𐝫| |𐝫","𐝫| |𐝫| |𐝫","𐝫| |𐝫| |𐝫"
"KH72","Khania","Tablet","LMIB","","","𐝫 𐝫 𐝫","𐝫 𐝫 𐝫","𐝫| |𐝫| |𐝫","𐝫| |𐝫| |𐝫","𐝫| |𐝫| |𐝫"
"KH73","Khania","Tablet","LMIB","KH Scribe 1","","𐝫 𐝫𐝉 𐘇𐝫 𐝫𐄇 𐘝𐄇 𐜝𐄇𐝫 𐝫𐝇 𐘇𐝫 𐝫","𐝫 𐝫𐝉𐘇𐝫 𐝫𐄇𐘝𐄇𐜝𐄇𐝫 𐝫𐝇𐘇𐝫 𐝫","𐝫| |𐝫𐝉| |A| |1| |figs|1| |*304+PA|1| |¹⁄₁₆| |A| |𐝫","𐝫| |𐝫𐝉| |A| |1| |NI|1| |*304+PA|1| |¹⁄₁₆| |A| |𐝫","𐝫| |𐝫𐝉| |𐘇𐝫| |𐝫𐄇| |𐘝|𐄇| |𐜝|𐄇𐝫| |𐝫𐝇| |𐘇𐝫| |𐝫"
"KH74","Khania","Tablet","LMIB","","","𐝫𐘤𐄁𐘱𐘀𐘲𐝫 𐝫𐘤𐝥𐘻 𐝫","𐝫𐘤𐄁𐘱𐘀𐘲𐝫 𐝫𐘤𐝥𐘻 𐝫","SI|𐄁|JA-DA-SU| |SI-*805-MI| |𐝫","SI|𐄁|JA-DA-SU| |SI-*805-MI| |𐝫","𐝫𐘤|𐄁|𐘱𐘀𐘲𐝫| |𐝫𐘤𐝥𐘻| |𐝫"
"KH75","Khania","Tablet","LMIB","","","𐝫 𐝫𐝆𐝫 𐝫𐙗𐝫𐝇𐝉 𐘝𐝁 𐝫","𐝫 𐝫𐝆𐝫 𐝫𐙗𐝫𐝇𐝉𐘝𐝁 𐝫","𐝫| |¹⁄₂| |cyperus|𐝇𐝉| |figs|¹⁄₃| |𐝫","𐝫| |¹⁄₂| |CYP|𐝇𐝉| |NI|¹⁄₃| |𐝫","𐝫| |𐝫𐝆𐝫| |𐝫𐙗𐝫|𐝇𐝉| |𐘝|𐝁| |𐝫"
