name,site,support,context,scribe,findspot,parsedInscription,transcription,translatedWords,transliteratedWords,words
"KNZb5","Knossos","Clay vessel","MMIIIB","","","𐘇𐘹𐘭𐘤𐘠𐄁","𐘇𐘹𐘭𐘤𐘠𐄁","(KN Zb 5), ""from"" TU-RI-SA|𐄁","A-TU-RI-SI-TI|𐄁","𐘇𐘹𐘭𐘤𐘠|𐄁"
"KNZb20","Knossos","Clay vessel","LMIA","","","𐝫𐘅𐘇𐘰","𐝫𐘅𐘇𐘰","NA-A-PA₃","NA-A-PA₃","𐝫𐘅𐘇𐘰"
"KNZb<27>","Knossos","Clay vessel","MMIIIB","","","𐘆𐘅𐘉𐄁𐙍𐄐𐄍","𐘆𐘅𐘉𐄁𐙍𐄐𐄍","DI-NA-U|𐄁|wine|17","DI-NA-U|𐄁|VIN|17","𐘆𐘅𐘉|𐄁|𐙍|𐄐𐄍"
"KNZb34","Knossos","Clay vessel","","","","𐛻","𐛻","wine","VIN+TE","𐛻"
"KNZb35","Knossos","Clay vessel","","","","𐝫𐘱𐝫𐘆𐝫𐘣𐝫𐝫𐙖𐄙 𐘝𐄈","𐝫𐘱𐝫𐘆𐝫𐘣𐝫𐙖𐄙𐘝𐄈","JA-DI-WI|olive oil|100| |figs|2","JA-DI-WI|OLE|100| |NI|2","𐝫𐘱𐝫𐘆𐝫𐘣𐝫|𐝫𐙖|𐄙| |𐘝|𐄈"
"KNZb<36>","Knossos","Clay vessel","","","","𐙍","𐙍","wine","VIN","𐙍"
"KNZb<37>","Knossos","Clay vessel","","","","𐙍","𐙍","wine","VIN","𐙍"
"KNZb<38>","Knossos","Clay vessel","","","","𐙍","𐙍","wine","VIN","𐙍"
"KNZb<39>","Knossos","Clay vessel","","","","𐘝","𐘝","figs","NI","𐘝"
"KNZb40","Knossos","Clay vessel","","","","𐘇𐘂𐘸 𐘉𐘅𐘇","𐘇𐘂𐘸 𐘉𐘅𐘇","A-PA-KI| |U-NA-A","A-PA-KI| |U-NA-A","𐘇𐘂𐘸| |𐘉𐘅𐘇"
"KNZb52","Knossos","Clay vessel","LMIA","","","𐙀𐘭𐘝𐙁","𐙀𐘭𐘝𐙁","ZU-RI-NI-MA","ZU-RI-NI-MA","𐙀𐘭𐘝𐙁"
"KNZb56","Knossos","Clay vessel","","","","𐘁𐛧","𐘁𐛧","RO-VIR+KA","RO-VIR+KA","𐘁𐛧"
"KHZc106","Knossos","Inked inscription","","","","","𐘞𐘞𐘴𐘋","SA-SA-RA-ME","SA-SA-RA-ME","𐘞𐘞𐘴𐘋"
"KNZc6","Knossos","Inked inscription","","","","𐘟𐘠𐘭𐘇𐘆𐘀𐘸𐘠𐘂𐙂𐄁 𐘝𐘱𐘯𐄁 𐘶𐙂𐘅𐘂𐙂𐘯𐘉𐝫𐘚𐙀𐄁","𐘟𐘠𐘭 𐘇𐘆𐘀𐘸𐘠𐘂𐙂𐄁𐘝𐘱𐘯𐄁 𐘶𐙂𐘅𐘂𐙂𐘯𐘉𐝫𐘚𐙀𐄁","*34-TI-RI-A-DI-DA-KI-TI-PA-KU|𐄁| |NI-JA-NU|𐄁| |JU-KU-NA-PA-KU-NU-U-I-ZU|𐄁","*34-TI-RI-A-DI-DA-KI-TI-PA-KU|𐄁| |NI-JA-NU|𐄁| |JU-KU-NA-PA-KU-NU-U-I-ZU|𐄁","𐘟𐘠𐘭𐘇𐘆𐘀𐘸𐘠𐘂𐙂|𐄁| |𐘝𐘱𐘯|𐄁| |𐘶𐙂𐘅𐘂𐙂𐘯𐘉𐝫𐘚𐙀|𐄁"
"KNZc7","Knossos","Inked inscription","","","","𐘇𐘾𐘯𐘍𐘠𐄁𐘬𐘴𐘙𐄁𐘇𐙀𐘴𐄁 𐘱𐘞𐘴𐘇𐘅𐘗𐄁𐘣𐘢𐝫𐄁𐝫","𐘇𐘾𐘯𐘍𐘠𐄁𐘬𐘴𐘙𐄁𐘇𐙀𐘴𐄁 𐘱𐘞𐘴𐘇𐘅𐘗𐄁𐘣𐘢𐝫𐄁𐝫","A-KA-NU-ZA-TI|𐄁|DU-RA-RE|𐄁|A-ZU-RA|𐄁| |JA-SA-RA-A-NA-NE|𐄁|WI-PI|𐄁","A-KA-NU-ZA-TI|𐄁|DU-RA-RE|𐄁|A-ZU-RA|𐄁| |JA-SA-RA-A-NA-NE|𐄁|WI-PI|𐄁","𐘇𐘾𐘯𐘍𐘠|𐄁|𐘬𐘴𐘙|𐄁|𐘇𐙀𐘴|𐄁| |𐘱𐘞𐘴𐘇𐘅𐘗|𐄁|𐘣𐘢𐝫|𐄁"
"KNZd46","Knossos","Graffito","","","","𐝫𐘫𐝫","𐝫𐘫𐝫","PU","PU","𐝫𐘫𐝫"
"KNZe16","Knossos","Architecture","","","","𐘇𐘢","𐘇𐘢","A-PI","A-PI","𐘇𐘢"
"KNZe44","Knossos","Architecture","","","","𐘚𐝫𐘮𐘱","𐘚𐝫𐘮𐘱","I-WA-JA","I-WA-JA","𐘚𐝫𐘮𐘱"
"KNZe45","Knossos","Architecture","","","","𐘾𐘤𐘇𐘃","𐘾𐘤𐘇𐘃","KA-SI-A-TE","KA-SI-A-TE","𐘾𐘤𐘇𐘃"
"KNZe49","Knossos","Architecture","","","","𐘥𐘤𐘃","𐘥𐘤𐘃","KE-SI-TE","KE-SI-TE","𐘥𐘤𐘃"
"KNZe56","Knossos","Architecture","","","","𐘵𐘀𐝫","𐘵𐘀𐝫","O-DA","O-DA","𐘵𐘀𐝫"
"KNZf13","Knossos","Metal object","LMIA","","","𐘇𐘙𐘗𐘤𐘆𐙕𐘢𐘥𐘂𐘱𐘳𐘭𐘈𐘃𐘭𐘕𐘇𐘱𐙂","𐘇𐘙𐘗𐘤𐘆𐙕𐘢𐘥𐘂𐘱𐘳𐘭𐘈𐘃𐘭𐘕𐘇𐘱𐙂","A-RE-NE-SI-DI-*301-PI-KE-PA-JA-TA-RI-SE-TE-RI-MU-A-JA-KU","A-RE-NE-SI-DI-*301-PI-KE-PA-JA-TA-RI-SE-TE-RI-MU-A-JA-KU","𐘇𐘙𐘗𐘤𐘆𐙕𐘢𐘥𐘂𐘱𐘳𐘭𐘈𐘃𐘭𐘕𐘇𐘱𐙂"
"KNZf31","Knossos","Metal object","","","","𐝫𐘤𐝫𐘤𐘍𐘗𐙠𐄁𐘀𐘬𐘻𐘗𐄁𐘌𐘻𐘨𐘅𐘴𐄁𐘇𐘮𐘢𐄁𐘃𐘲𐘦𐘈𐘥𐘚𐄁𐘇𐘀𐘴𐄁𐘠𐘆𐘃𐘌𐘠𐄁𐘳𐘞𐘍𐄁𐘳𐘃𐘚𐘥𐘍𐘙𐄁𐝫","𐝫𐘤𐝫𐘤𐘍𐘗𐙠𐄁𐘀𐘬𐘻𐘗𐄁𐘌𐘻𐘨𐘅𐘴𐄁𐘇𐘮𐘢𐄁𐘃𐘲𐘦𐘈𐘥𐘚𐄁𐘇𐘀𐘴𐄁𐘠𐘆𐘃𐘌𐘠𐄁𐘳𐘞𐘍𐄁𐘳𐘃𐘚𐘥𐘍𐘙𐄁𐝫","SI-SI-ZA-NE-*310|𐄁|DA-DU-MI-NE|𐄁|QA-MI-*47-NA-RA|𐄁|A-WA-PI|𐄁|TE-SU-DE-SE-KE-I|𐄁|A-DA-RA|𐄁|TI-DI-TE-QA-TI|𐄁|TA-SA-ZA|𐄁|TA-TE-I-KE-ZA-RE|𐄁","SI-SI-ZA-NE-*310|𐄁|DA-DU-MI-NE|𐄁|QA-MI-*47-NA-RA|𐄁|A-WA-PI|𐄁|TE-SU-DE-SE-KE-I|𐄁|A-DA-RA|𐄁|TI-DI-TE-QA-TI|𐄁|TA-SA-ZA|𐄁|TA-TE-I-KE-ZA-RE|𐄁","𐝫𐘤𐝫𐘤𐘍𐘗𐙠|𐄁|𐘀𐘬𐘻𐘗|𐄁|𐘌𐘻𐘨𐘅𐘴|𐄁|𐘇𐘮𐘢|𐄁|𐘃𐘲𐘦𐘈𐘥𐘚|𐄁|𐘇𐘀𐘴|𐄁|𐘠𐘆𐘃𐘌𐘠|𐄁|𐘳𐘞𐘍|𐄁|𐘳𐘃𐘚𐘥𐘍𐘙|𐄁"
"KNZg<21>","Knossos","Stone object","LMIA","","","𐛈","𐛈","*528","*528","𐛈"
"KNZg55","Knossos","Stone object","LMI","","","𐘱𐘞𐘱","𐘱𐘞𐘱","JA-SA-JA","JA-SA-JA","𐘱𐘞𐘱"
"KOZa1","Kophinas","Stone vessel","","","","𐘇𐘳𐘚𐙕𐘮𐘱 𐘹𐘘𐘞𐄁𐘬𐙦𐘙𐄁𐘚𐘀𐘇𐄁 𐘉𐘅𐘾𐘅𐘤𐄁 𐘚𐘢𐘅𐙁𐄁𐘤𐘘𐘃","𐘇𐘳𐘚𐙕𐘮𐘱 𐘹𐘘𐘞𐄁𐘬𐙦𐘙𐄁𐘚𐘀 𐘇𐄁𐘉𐘅𐘾𐘅𐘤𐄁𐘚 𐘢𐘅𐙁𐄁𐘤𐘘𐘃","gives| |TU-RU-SA|𐄁|DU-*314-RE|𐄁|I-DA-A|𐄁| |requesting|𐄁| |a favour|𐄁|divine","A-TA-I-*301-WA-JA| |TU-RU-SA|𐄁|DU-*314-RE|𐄁|I-DA-A|𐄁| |U-NA-KA-NA-SI|𐄁| |I-PI-NA-MA|𐄁|SI-RU-TE","𐘇𐘳𐘚𐙕𐘮𐘱| |𐘹𐘘𐘞|𐄁|𐘬𐙦𐘙|𐄁|𐘚𐘀𐘇|𐄁| |𐘉𐘅𐘾𐘅𐘤|𐄁| |𐘚𐘢𐘅𐙁|𐄁|𐘤𐘘𐘃"
"KO(?)Zf2","Kophinas","Metal object","","","","𐘇𐘴𐘺𐙂𐙀𐘮𐘞𐘄𐙁𐘁𐙄𐘳𐘦𐘊𐘝𐘍","𐘇𐘴𐘺𐙂𐘌𐘮𐘞𐘄𐙁𐘁𐙄𐘳𐘦𐘊𐘝𐘍","A-RA-KO-KU-ZU-WA-SA-TO-MA-RO-AU-TA-DE-PO-NI-ZA","A-RA-KO-KU-ZU-WA-SA-TO-MA-RO-AU-TA-DE-PO-NI-ZA","𐘇𐘴𐘺𐙂𐙀𐘮𐘞𐘄𐙁𐘁𐙄𐘳𐘦𐘊𐘝𐘍"
"KYZa2","Kythera","Stone vessel","","","","𐘀𐙁𐘃","𐘀𐙁𐘃","DA-MA-TE","DA-MA-TE","𐘀𐙁𐘃"
"KYZg1","Kythera","Stone object","LMIA","","","𐛴𐛴","𐛴","GRA+E","GRA+E","𐛴"
"LAZb1(bis)","Larani","Clay vessel","","","","𐘱𐘠𐘹𐙂","𐘱𐘠𐘹𐙂","JA-TI-TU-KU","JA-TI-TU-KU","𐘱𐘠𐘹𐙂"
"MA1a","Malia","3-sided bar","","","","𐄂𐘚𐘬𐘣𐘨 𐘿𐘦𐘻𐘯𐄁","𐄂𐘚𐘬𐘣𐄁𐘨𐄁𐘿𐘦𐘻𐘯𐄁","*903-I-DU-WI|*47| |QE-DE-MI-NU|𐄁","*903-I-DU-WI|*47| |QE-DE-MI-NU|𐄁","𐄂𐘚𐘬𐘣|𐘨| |𐘿𐘦𐘻𐘯|𐄁"
"MA1b","Malia","3-sided bar","","","","𐘇𐙁𐄁𐘨 𐘿𐘦𐘻𐘯","𐘇𐙁𐄁𐘨𐄁𐘿𐘦𐘻𐘯","A-MA|𐄁|*47| |QE-DE-MI-NU","A-MA|𐄁|*47| |QE-DE-MI-NU","𐘇𐙁|𐄁|𐘨| |𐘿𐘦𐘻𐘯"
"MA1c","Malia","Tablet","","","","𐘠","𐘠","TI","TI","𐘠"
"MA2a","Malia","3-sided bar","","","","𐝫𐘬𐘴𐄋","𐝫𐘬𐘴𐄋","DU-RA|5","DU-RA|5","𐝫𐘬𐘴|𐄋"
"MA2b","Malia","3-sided bar","","","","𐝫𐘙𐘠𐄊 𐝫𐘠𐄇 𐘱𐙂𐄈 𐘠𐝫","𐝫𐘙𐘠𐄊𐝫 𐝫𐘠𐄇𐘱𐙂𐄈𐘠𐝫","RE-TI|4| |TI|1| |JA-KU|2| |TI","RE-TI|4| |TI|1| |JA-KU|2| |TI","𐝫𐘙𐘠|𐄊| |𐝫𐘠|𐄇| |𐘱𐙂|𐄈| |𐘠𐝫"
"MA2c","Malia","3-sided bar","","","","𐝫𐘉𐘅𐘅𐄉 𐝫𐘱𐙁𐘉𐘠𐄌","𐝫𐘉𐘅𐘅𐄉 𐝫𐘱𐙁𐘉𐘠𐄌","U-NA-NA|3| |JA-MA-U-TI|6","U-NA-NA|3| |JA-MA-U-TI|6","𐝫𐘉𐘅𐘅|𐄉| |𐝫𐘱𐙁𐘉𐘠|𐄌"
"MA4a","Malia","Tablet","","","","𐘳𐜅𐄐𐄋 𐜆𐄙𐄑 𐜄𐄔𐄉 𐜃𐄒","𐘳𐜅𐄐𐄋𐜆𐄙𐄑𐜄𐄔𐄉𐜃𐄒","TA-HIDE+B|15| |HIDE+L|120| |HIDE+SA+L|53| |HIDE+SA+B|30","TA-HIDE+B|15| |HIDE+L|120| |HIDE+SA+L|53| |HIDE+SA+B|30","𐘳𐜅|𐄐𐄋| |𐜆|𐄙𐄑| |𐜄|𐄔𐄉| |𐜃|𐄒"
"MA4b","Malia","Tablet","","","","𐘇𐝫𐝫𐘱𐙒𐄙𐄑𐄉 𐄙𐄕","𐘇𐝫𐝫𐘱𐙒𐄙𐄑𐄉𐄙𐄕","A-JA|hide?|123| |160","A-JA|HIDE+[?]|123| |160","𐘇𐝫𐝫𐘱|𐙒|𐄙𐄑𐄉| |𐄙𐄕"
"MA6a","Malia","Tablet","","","","𐝫𐙒𐝫𐄡𐄓𐄇 𐜅𐄒𐄋","𐝫𐙒𐝫𐄡𐄓𐄇𐜅𐄒𐄋","hide?|941| |HIDE+B|35","HIDE+[?]|941| |HIDE+B|35","𐝫𐙒𐝫|𐄡𐄓𐄇| |𐜅|𐄒𐄋"
"MA6b","Malia","Tablet","","","","𐝫𐙒𐄞𐄑𐝫","𐝫𐙒𐄞𐄑𐝫","hide?|620","HIDE+[?]|620","𐝫𐙒|𐄞𐄑𐝫"
"MA6c","Malia","Tablet","","","","𐝫𐜅𐄊𐝫 𐙒𐝫𐄗𐄍𐝫 𐝫𐙒𐝫𐄚𐄒𐄉𐝫","𐝫𐜅𐄊𐝫𐙒𐄗𐄍𐝫 𐝫𐙒𐝫𐄚𐄒𐄉𐝫","HIDE+B|4| |hide?|87| |hide?|233","HIDE+B|4| |HIDE+[?]|87| |HIDE+[?]|233","𐝫𐜅|𐄊𐝫| |𐙒𐝫|𐄗𐄍𐝫| |𐝫𐙒𐝫|𐄚𐄒𐄉𐝫"
"MA6d","Malia","Tablet","","","","𐝫𐙒𐄚𐝫","𐝫𐙒𐄚𐝫","hide?|200","HIDE+[?]|200","𐝫𐙒|𐄚𐝫"
"MA9","Malia","Tablet","MMIII","","Malia Palace Room III 8","𐝫𐄣","𐝫𐄣","2000","2000","𐝫𐄣"
"MA10a","Malia","4-sided bar","","","","𐝫𐘘𐄁𐜲𐄈 𐜰𐄊 𐜱𐄊𐝫","𐝫𐘘𐄁𐜲𐄈𐜰𐄊𐜱𐄊𐝫","RU|𐄁|*413+SU|2| |*412+E|4| |*659|4","RU|𐄁|*413+SU|2| |*412+E|4| |*659|4","𐝫𐘘|𐄁|𐜲|𐄈| |𐜰|𐄊| |𐜱|𐄊𐝫"
"MA10b","Malia","4-sided bar","","","","𐝫𐘬𐘢𐘃𐘮𐄁𐜭𐄇 𐜰𐄉 𐝫𐄊 𐜬𐄈 𐛄𐄈","𐝫𐘬𐘢𐘃𐘮𐄁𐜭𐄇𐜰𐄉𐝫 𐝫𐄊𐜬𐄈𐛄𐄈𐝫","DU-PI-TE-WA|𐄁|*405+Ω|1| |*412+E|3| |4| |*402+A|2| |TI+*412VAS|2","DU-PI-TE-WA|𐄁|*405+Ω|1| |*412+E|3| |4| |*402+A|2| |TI+*412VAS|2","𐝫𐘬𐘢𐘃𐘮|𐄁|𐜭|𐄇| |𐜰|𐄉| |𐝫𐄊| |𐜬|𐄈| |𐛄|𐄈"
"MA10c","Malia","4-sided bar","","","","𐝫𐜰𐄈 𐜱𐄉 𐚤𐝫","𐝫𐜰𐄈𐜱𐄉𐚤𐝫","*412+E|2| |*659|3| |*404-VS","*412+E|2| |*659|3| |*404-VS","𐝫𐜰|𐄈| |𐜱|𐄉| |𐚤𐝫"
"MA10d","Malia","4-sided bar","","","","𐝫𐜴 𐜳","𐝫𐜴𐜳𐝫","*414+F| |*414+[ ]","*414+F| |*414+[ ]","𐝫𐜴| |𐜳"
"MAWc<5>","Malia","Roundel","","","","𐘇𐘞𐘀𐘾 𐛴𐄊","𐘇𐘞𐘀𐘾 𐛴𐄊","A-SA-DA-KA| |GRA+E|4","A-SA-DA-KA| |GRA+E|4","𐘇𐘞𐘀𐘾| |𐛴|𐄊"
"MAWc7","Malia","Roundel","MMIIIB","","Malia Palace Room III 8","𐙒","𐙒","hide?","HIDE+[?]","𐙒"
"MAZb15","Malia","Clay vessel","","","","𐚥𐝇","𐚥𐝇","*405-VS-*906","*405-VS-*906","𐚥𐝇"
"MAZb8","Malia","Clay vessel","LMIA","","Bastion E","𐘱𐘞𐝫","𐘱𐘞𐝫","JA-SA","JA-SA","𐘱𐘞𐝫"
"MAZe11","Malia","Architecture","","","Malia South NW Corridor","𐘿𐘤𐘃","𐘿𐘤𐘃","QE-SI-TE","QE-SI-TE","𐘿𐘤𐘃"
"MARGWa1-26","Margiana","Nodule","","","","𐘾","𐘾","KA","KA","𐘾"
"MI2","Milos","Tablet","LBI","","","𐘫𐝫 — 𐝫𐘬𐘾𐝫 𐝫𐄁𐝫𐜪𐝫 — 𐝫𐘾𐝫 𐝫","𐘫𐝫 — 𐝫𐘬𐘾𐝫 𐝫𐄁𐝫𐜪𐝫 — 𐝫𐘾𐝫 𐝫","PU| |—| |DU-KA| |𐄁| | | |*401+RO|—|KA|𐝫","PU| |—| |DU-KA| |𐄁| | | |*401+RO|—|KA|𐝫","𐘫𐝫| |—| |𐝫𐘬𐘾𐝫| |𐄁| | | |𐜪𐝫|—|𐘾|𐝫"
"MIZb1","Milos","Clay vessel","","","","𐘸𐘘","𐘸𐘘","KI-RU","KI-RU","𐘸𐘘"
"MIZb3","Milos","Clay vessel","","","","𐘙𐘠","𐘙𐘠","RE-TI","RE-TI","𐘙𐘠"
"MILZb1","Miletos","Clay vessel","","","","𐝫𐘰𐘤𐘨","𐝫𐘰𐘤𐘨","PA₃-SI-*47","PA₃-SI-*47","𐝫𐘰𐘤𐘨"
"MOZb2?","Mokhilos","Clay vessel","","","","","","","",""
"MOZb3?","Mokhilos","Clay vessel","","","","","","","",""
"MOZf1","Mokhilos","Metal object","","","","𐙹𐘞𐘕","𐙹𐘞𐘕","*333-SA-MU","*333-SA-MU","𐙹𐘞𐘕"
"MYZf1","Mycenae","Metal object","","","","𐛉","𐛉","SI+SE","SI+SE","𐛉"
"MYZf2","Mycenae","Metal object","","","","𐁁","𐁁","𐁁","𐁁","𐁁"
"MYZg1","Mycenae","Stone object","","","","𐘲","𐘲","SU","SU","𐘲"
"NEZa1","Nerokurou","Stone vessel","","","","𐝫𐘚𐘀𐝫","𐝫𐘚𐘀𐝫","Mt Ida","I-DA","𐝫𐘚𐘀𐝫"
"PA1","Papourou","Tablet","","","","𐘇𐙂𐘶𐘂𐙈𐄒𐄋","𐘇𐙂𐘶𐘂𐙈 𐄒𐄋","A-KU-JU-PA-*118|35","A-KU-JU-PA-*118|35","𐘇𐙂𐘶𐘂𐙈|𐄒𐄋"
"PE1","Petras","Tablet","","","","𐘉𐘾𐘙𐘇𐘈𐘤𐘅 𐙂𐘂𐘭𐙇𐄔𐝫 𐛭𐄑𐄌𐝆 𐘡𐘾𐝫𐙇𐄖𐄈 𐛭𐄒𐄌","𐘉𐘾𐘙𐘇𐘈𐘤 𐘅𐙂𐘂𐘭𐙇𐄔𐝫 𐛭𐄑𐄌𐝆𐘡𐘾𐝫 𐙇𐄖𐄈𐛭𐄒 𐄌","U-KA-RE-A-SE-SI-NA| |KU-PA-RI|VIR+[?]|50| |grain|26|¹⁄₂| |E-KA|VIR+[?]|72| |grain|36","U-KA-RE-A-SE-SI-NA| |KU-PA-RI|VIR+[?]|50| |GRA+PA|26|¹⁄₂| |E-KA|VIR+[?]|72| |GRA+PA|36","𐘉𐘾𐘙𐘇𐘈𐘤𐘅| |𐙂𐘂𐘭|𐙇|𐄔𐝫| |𐛭|𐄑𐄌|𐝆| |𐘡𐘾𐝫|𐙇|𐄖𐄈| |𐛭|𐄒𐄌"
"PE2","Petras","Tablet","","","","𐝫 𐄉𐝁 𐘘𐘢𐝫𐙙𐘻𐄇𐝄 𐘇𐙱𐘍𐝃 𐘇𐘭𐘂𐝃 𐘌𐘌𐘀𐝆 𐘄𐘋𐝁 𐘄𐘪𐘙𐄇 𐝫","𐝫 𐄉𐝁𐘘𐘢𐝫𐙙𐘻𐄇𐝄 𐘇𐙱𐘍𐝃𐘇𐘭𐘂𐝃𐘌𐘌𐘀 𐝆𐘄𐘋𐝁𐘄𐘪𐘙𐄇 𐝫","𐝫| |3|¹⁄₃| |RU-PI-*305-MI|1|¹⁄₈| |A-*325-ZA|¹⁄₄| |A-RI-PA|¹⁄₄| |QA-QA-DA|¹⁄₂| |TO-ME|¹⁄₃| |TO-*49-RE|1| |𐝫","𐝫| |3|¹⁄₃| |RU-PI-*305-MI|1|¹⁄₈| |A-*325-ZA|¹⁄₄| |A-RI-PA|¹⁄₄| |QA-QA-DA|¹⁄₂| |TO-ME|¹⁄₃| |TO-*49-RE|1| |𐝫","𐝫| |𐄉|𐝁| |𐘘𐘢𐝫𐙙𐘻|𐄇|𐝄| |𐘇𐙱𐘍|𐝃| |𐘇𐘭𐘂|𐝃| |𐘌𐘌𐘀|𐝆| |𐘄𐘋|𐝁| |𐘄𐘪𐘙|𐄇| |𐝫"
"PEWs","Petras","Tablet","","","","𐙉𐘠𐘡𐄇","𐙉𐘠𐘡𐄇","GRA-TI-E|1","GRA-TI-E|1","𐙉𐘠𐘡|𐄇"
"PEWy5","Petras","Tablet","","","","𐙖𐙛𐄇𐝆","𐙖𐙛𐄇𐝆","OLE-*307|1|¹⁄₂","OLE-*307|1|¹⁄₂","𐙖𐙛|𐄇|𐝆"
"PEZb","Petras","Clay vessel","","","","𐝫𐘇𐘯𐝫","𐝫𐘇𐘯𐝫","A-NU","A-NU","𐝫𐘇𐘯𐝫"
"PEZb3","Petras","Clay vessel","LMIB","","","𐘇𐘾𐘴𐘸𐘳𐘅𐘤𐘱𐘈𐙇𐘍","𐘇𐘾𐘴𐘸𐘳𐘅𐘤𐘱𐘈𐙇𐘍","A-KA-RA-KI-TA-NA-SI-JA-SE-VIR+[?]-ZA","A-KA-RA-KI-TA-NA-SI-JA-SE-VIR+[?]-ZA","𐘇𐘾𐘴𐘸𐘳𐘅𐘤𐘱𐘈𐙇𐘍"
"PEZb7","Petras","Clay vessel","LMIB","","","𐝫𐘇 𐘱𐘮𐘢𐄇","𐝫𐘇 𐘱𐘮𐘢𐄇","A| |JA-WA-PI|1","A| |JA-WA-PI|1","𐝫𐘇| |𐘱𐘮𐘢|𐄇"
"PEZb8","Petras","Clay vessel","LMIB","","","𐘇","𐘇","A","A","𐘇"
"PEZc4","Petras","Inked inscription","LMIB","","","𐝫𐘇𐘱𐝫 ≈ 𐝫𐘱𐘤𐝫","𐝫𐘇𐘱𐝫 ≈ 𐝫𐘱𐘤𐝫","A-JA|≈|JA-SI","A-JA|≈|JA-SI","𐝫𐘇𐘱𐝫|≈|𐝫𐘱𐘤𐝫"
"PEZg5","Petras","Stone object","LMIB","","","𐙖𐙛𐄇𐝆","𐙖𐙛𐄇𐝆","olive oil|*307|1|¹⁄₂","OLE|*307|1|¹⁄₂","𐙖|𐙛|𐄇|𐝆"
"PEZg6","Petras","Stone object","","","","𐘚𐘅𐝫𐄁𐝫𐘃 — 𐘳𐘅𐙁𐘧 —","𐘚𐘅𐝫𐄁𐝫𐘃 — 𐘳𐘅𐙁𐘧 —","I-NA|𐄁|TE| |—| |TA-NA-MA-JE| |—","I-NA|𐄁|TE| |—| |TA-NA-MA-JE| |—","𐘚𐘅𐝫|𐄁|𐝫𐘃| |—| |𐘳𐘅𐙁𐘧| |—"
"PETSWc","Petras","Roundel","","","","","","","",""
"PH1a","Phaistos","Tablet","","","","𐝫𐘆𐘴𐘆𐘅𐙨𐄁𐝉 𐝫𐘱𐄁𐙨𐄇 𐙗𐝅 𐝫","𐝫𐘆𐘴𐘆𐘅𐙨𐝫𐄁𐝫𐝉 𐝫𐘱𐄁𐙨𐄇𐙗𐝅 𐝫","DI-RA-DI-NA|*316|𐄁|𐝉| |JA|𐄁|*316|1| |cyperus|≈ ¹⁄₆| |𐝫","DI-RA-DI-NA|*316|𐄁|𐝉| |JA|𐄁|*316|1| |CYP|≈ ¹⁄₆| |𐝫","𐝫𐘆𐘴𐘆𐘅|𐙨|𐄁|𐝉| |𐝫𐘱|𐄁|𐙨|𐄇| |𐙗|𐝅| |𐝫"
"PH1b","Phaistos","Tablet","","","","𐝫𐄁𐝫𐘅𐄇 𐘂𐝫 𐝫𐘝𐄈𐝄𐝇","𐝫𐄁𐝫𐘅𐄇𐘂𐝫 𐝫𐘝𐄈𐝄𐝇","𐄁|NA|1| |PA| |figs|2|𐝄𐝇","𐄁|NA|1| |PA| |NI|2|𐝄𐝇","𐄁|𐝫𐘅|𐄇| |𐘂𐝫| |𐝫𐘝|𐄈|𐝄𐝇"
"PH2","Phaistos","Tablet","","","","𐘇𐘈𐘹𐘐𐄇 𐘴𐘵𐘆𐘸𐄕 𐘢𐘘𐘡𐘶𐄕 𐘈𐘞𐘰𐄕 𐝫","𐘇𐘈𐘹𐘐𐄇 𐘴𐘵𐘆𐘸𐄕 𐘢𐘘𐘡𐘶𐄕 𐘈𐘞𐘰𐄕 𐝫","A-SE-TU-*21F|1| |RA-O-DI-KI|60| |PI-RU-E-JU|60| |SE-SA-PA₃|60| |𐝫","A-SE-TU-*21F|1| |RA-O-DI-KI|60| |PI-RU-E-JU|60| |SE-SA-PA₃|60| |𐝫","𐘇𐘈𐘹𐘐|𐄇| |𐘴𐘵𐘆𐘸|𐄕| |𐘢𐘘𐘡𐘶|𐄕| |𐘈𐘞𐘰|𐄕| |𐝫"
"PH3a","Phaistos","Tablet","","","","𐝫𐛠𐄇 𐘳 𐝫𐛡𐄇 𐛣𐝓 𐝫𐛢𐝓 𐘂𐘴𐝓 𐝫𐘂𐝫 𐝫𐄇 𐝫","𐝫𐛠𐄇𐘳 𐝫𐛡𐄇𐛣𐝓 𐝫𐛢𐝓𐘂𐘴𐝓 𐝫𐘂𐝫𐄇 𐝫","*556|1| |TA| |*557|1| |*563|𐝓| |*560|𐝓| |PA-RA|𐝓| |PA| |1| |𐝫","*556|1| |TA| |*557|1| |*563|𐝓| |*560|𐝓| |PA-RA|𐝓| |PA| |1| |𐝫","𐝫𐛠|𐄇| |𐘳| |𐝫𐛡|𐄇| |𐛣|𐝓| |𐝫𐛢|𐝓| |𐘂𐘴|𐝓| |𐝫𐘂𐝫| |𐝫𐄇| |𐝫"
