,Identical matches,Numbered_strings,Row number
110,"['pt', 'pt', 'pr', 'pc', 'pd', 'pg', 'ph', 'pk', 'pl', 'pn', 'pq', 'ps', 'pw', 'py']",p905,990
111,"['st', 'st', 'sr', 'sb', 'sd', 'sf', 'sg', 'sh', 'sk', 'sl', 'sm', 'sn', 'sp', 'sq', 'ss', 'sw', 'sy']",s802,997
112,"['atw', 'atw']",at999,999
113,"['wt', 'wt', 'wr', 'wk', 'wm', 'wd', 'wp', 'wb', 'wc', 'wg', 'wh', 'wl', 'wn', 'ws', 'wy']",w362,1010
114,"['trr', 'trr', 'err']",076rr,1018
115,"['sar', 'sar', 'sbr', 'shr', 'skr', 'syr']",s301r,1031
116,"['khn', 'khn', 'knn', 'krn', 'ksn', 'ktn', 'kyn', 'kdr', 'kkl', 'kkr', 'krb', 'krc', 'krd', 'krh', 'krk', 'krm', 'krp', 'krs', 'kwt', 'kbh', 'kbl', 'kbr', 'kcb', 'kcf', 'kcm', 'kcr', 'kdh', 'khh', 'khp', 'klb', 'klc', 'klf', 'klh', 'klm', 'klp', 'kly', 'kmh', 'kml', 'kmy', 'knc', 'knh', 'knk', 'knm', 'knp', 'kny', 'ktm', 'ktr', 'kwd', 'kwl', 'kws', 'kyc', 'kyr', 'kys']",k999574,1036
117,"['pkh', 'pkh', 'prt', 'pth', 'ptk', 'ptr', 'pts', 'pud', 'prm', 'pal', 'pcr', 'pdg', 'pgl', 'phc', 'phd', 'phl', 'phr', 'phs', 'pin', 'plc', 'plh', 'plk', 'pls', 'ply', 'pnk', 'prc', 'prd', 'prg', 'prh', 'prk', 'prq', 'psk', 'psq', 'pvs', 'pwd', 'pyk']",p999363,1039
118,"['mt', 'mt', 'mr', 'mw', 'mq', 'mk', 'mm', 'md', 'mn', 'mc', 'mg', 'mh', 'ml', 'ms', 'my']",m131,1048
119,"['smb', 'smb', 'smf', 'smh', 'smn']",sm999,1064
120,"['tb', 'tb', 'tc', 'tf', 'tg', 'th', 'tk', 'tl', 'tm', 'tn', 'tp', 'tq', 'tr', 'ts', 'tt', 'tw', 'ty']",t123,1067
121,"['tm', 'tm', 'km', 'rm', 'sm', 'ym', 'am', 'cm', 'dm', 'em', 'gm', 'hm', 'im', 'lm', 'mm', 'nm', 'qm', 'um', 'wm']",999m,1070
122,"['mt', 'mt', 'mr', 'mw', 'mq', 'mk', 'mm', 'md', 'mn', 'mc', 'mg', 'mh', 'ml', 'ms', 'my']",m999,1074
123,"['tw', 'tw', 'kw', 'rw', 'pw', 'sw', 'aw', 'bw', 'cw', 'dw', 'ew', 'gw', 'hw', 'iw', 'lw', 'mw', 'nw', 'yw']",301w,1105
124,"['ytn', 'ytn']",yt321,1118
125,"['smn', 'smn', 'rmn', 'dmn', 'imn', 'amn', 'cmn', 'ymn']",188mn,1159
126,"['abc', 'abc', 'abd', 'abk', 'abl', 'abn', 'abw']",ab085,1273
127,"['atw', 'atw', 'abw', 'acw', 'adw', 'afw', 'amw', 'arw']",a301w,1274
128,"['at', 'at', 'ar', 'aw', 'aq', 'ak', 'am', 'ad', 'ap', 'an', 'ab', 'ac', 'af', 'ag', 'ah', 'al', 'as']",a651,1307
129,"['at', 'at', 'ar', 'aw', 'aq', 'ak', 'am', 'ad', 'ap', 'an', 'ab', 'ac', 'af', 'ag', 'ah', 'al', 'as', 'at', 'ar', 'aw', 'aq', 'ak', 'am', 'ad', 'ap', 'an', 'ab', 'ac', 'af', 'ag', 'ah', 'al', 'as']",a652,1308
130,"['abc', 'abc', 'abd', 'abk', 'abl', 'abn', 'abw']",ab164,1309
131,"['at', 'at', 'ar', 'aw', 'aq', 'ak', 'am', 'ad', 'ap', 'an', 'ab', 'ac', 'af', 'ag', 'ah', 'al', 'as']",a660,1313
132,"['at', 'at', 'ar', 'aw', 'aq', 'ak', 'am', 'ad', 'ap', 'an', 'ab', 'ac', 'af', 'ag', 'ah', 'al', 'as', 'at', 'ar', 'aw', 'aq', 'ak', 'am', 'ad', 'ap', 'an', 'ab', 'ac', 'af', 'ag', 'ah', 'al', 'as', 'at', 'ar', 'aw', 'aq', 'ak', 'am', 'ad', 'ap', 'an', 'ab', 'ac', 'af', 'ag', 'ah', 'al', 'as']",a658,1314
133,"['at', 'at', 'ar', 'aw', 'aq', 'ak', 'am', 'ad', 'ap', 'an', 'ab', 'ac', 'af', 'ag', 'ah', 'al', 'as']",a659,1315
134,"['at', 'at', 'ar', 'aw', 'aq', 'ak', 'am', 'ad', 'ap', 'an', 'ab', 'ac', 'af', 'ag', 'ah', 'al', 'as', 'at', 'ar', 'aw', 'aq', 'ak', 'am', 'ad', 'ap', 'an', 'ab', 'ac', 'af', 'ag', 'ah', 'al', 'as']",a655,1317
135,"['at', 'at', 'ar', 'aw', 'aq', 'ak', 'am', 'ad', 'ap', 'an', 'ab', 'ac', 'af', 'ag', 'ah', 'al', 'as']",a654,1319
136,"['at', 'at', 'ar', 'aw', 'aq', 'ak', 'am', 'ad', 'ap', 'an', 'ab', 'ac', 'af', 'ag', 'ah', 'al', 'as']",a662,1323
