0,GORILA Code,Site,Item Type,English Transcription,NEW FORMAT,Without Gaps,Without Vowels,Linear A Font,UNICODE Symbols,Notes,LOWER
,HT87,,,,DI-KI-SE,DIKISE,DKS,,,,dks
,HT87,,,,QE-SU-PU,QESUPU,QSP,,,,qsp
,HT87,,,,KU-RU-KU,KURUKU,KRK,,,,krk
,HT87,,,,A-RA-[]-A-TU,ARA999ATU,AR999AT,,,,ar999at
,HT88,Haghia Triada,,,A-DU,ADU,AD,,,,ad
,HT88,,,,RE-ZA,REZA,RZ,,,,rz
,HT88,,,,KI-KI-NA,KIKINA,KKN,,,,kkn
,HT88,,,,[]-KI-RO,999KIRO,999KR,,,,999kr
,HT88,,,,KU-[]-[],KU999999,K999999,,,,k999999
,HT88,,,,KA-JU,KAJU,KJ,,,,kj
,HT88,,,,KA-YU,KAYU,KY,,,,ky
,HT88,,,,KU-[]-NU,KU999NU,K999N,,,,k999n
,HT88,,,,PA-JA-RE,PAJARE,PJR,,,,pjr
,HT88,,,,SA-MA-RO,SAMARO,SMR,,,,smr
,HT88,,,,DA-TA-RE,DATARE,DTR,,,,dtr
,HT88,,,,KU-RO,KURO,KR,,,,kr
,HT89,Haghia Triada,,,A-SA-RA,ASARA,ASR,,,,asr
,HT89,,,,MI+[A317]+QE,MI317QE,M317Q,,,,m317q
,HT89,,,,MA-I-MI,MAIMI,MIM,,,,mim
,HT89,,,,TA-RA,TARA,TR,,,,tr
,HT89,,,,KU-RO,KURO,KR,,,,kr
,HT90,Haghia Triada,,,I-KU-RI-NA-SA-RA,IKURINASARA,IKRNSR,,,,ikrnsr
,HT90,,,,NI,NI,N,,,,n
,HT90,,,,SI-RU-MA-RI-TA,SIRUMARITA,SRMRT,,,,srmrt
,HT90,,,,NI,NI,N,,,,n
,HT91,Haghia Triada,,,I-KA,IKA,IK ,,,,ik 
,HT91,,,,NU-[A304]-PA,NU304PA,N304P,,,,n304p
,HT91,,,,[A302]+KI-PA,302KIPA,302KP,,,,302kp
,HT91,,,,[A302]+U-PA,302UPA,302UP,,,,302up
,HT91,,,,A302+MI-PA,302MIPA,302MP,,,,302mp
,HT91,,,,PA-E,PAE,PE,,,,pe
,HT91,,,,TE-WE,TEWE,TW,,,,tw
,HT91,,,,[A302]+MI-PA-E-[],302MIPAE999,302MPE999,,,,302mpe999
,HT92,Haghia Triada,,,A-DU,ADU,AD,,,,ad
,HT92,,,,TE ,TE ,T,,,,t
,HT93a,Haghia Triada,,,[AB056]-NI-NA,056NINA,056NN,,,,056nn
,HT93a,,,,E+SE,ESE,ES,,,,es
,HT93a,,,,DI-WE-NA,DIWENA,DWN,,,,dwn
,HT93a,,,,E+SE,ESE,ES,,,,es
,HT93a,,,,KI-DI-NI,KIDINI,KDN,,,,kdn
,HT93a,,,,A-SE,ASE,AS,,,,as
,HT93a,,,,SA-RA,SARA,SR ,,,,sr 
,HT93a,,,,QA-QA-RU,QAQARU,QQR,,,,qqr
,HT93a,,,,MA-JU-KU,MAJUKU,MJK,,,,mjk
,HT93a,,,,MA-YU-KU,MAYUKU,MYK,,,,myk
,HT93a,,,,DA-RI-DA,DARIDA,DRD,,,,drd
,HT93a,,,,[AB056]-NI-NA,056NINA,056NN,,,,056nn
,HT93a,,,,PA-SE-JA,PASEJA,PSJ,,,,psj
,HT93a,,,,PA-SE-YA,PASEYA,PSY,,,,psy
,HT93b,Haghia Triada,,,KI-RO,KIRO,KR,,,,kr
,HT94a,,,,KA-PA,KAPA,KP,,,,kp
,HT94a,,,,KU-RO,KURO,KR,,,,kr
,HT94a,,,,SA-RA,SARA,SR,,,,sr
,HT94b,,,,KI-RO,KIRO,KR,,,,kr
,HT94b,,,,TU-MA,TUMA,TM,,,,tm
,HT94b,,,,PA-TA-NE,PATANE,PTN,,,,ptn
,HT94b,,,,WA-DI,WADI,WD,,,,wd
,HT94b,,,,KE-KI-RU,KEKIRU,KKR,,,,kkr
,HT94b,,,,SA-RU,SARU,SR,,,,sr
,HT94b,,,,KU-RO,KURO,KR,,,,kr
,HT94b,,,,RA-[]-WA-ME-TE,RA999WAMETE,R999WMT,,,,r999wmt
,HT94b,,,,[AB012F]-TU-[],012TU999,012T999,,,,012t999
,HT95a,,,,DA-DU-MA-TA,DADUMATA,DDMT,,,,ddmt
,HT95a,,,,DA-ME,DAME,DM,,,,dm
,HT95a,,,,MI-NU-TE,MINUTE,MNT,,,,mnt
,HT95a,,,,SA-RU,SARU,SR,,,,sr
,HT95a,,,,KU-NI-SU,KUNISU,KNS,,,,kns
,HT95a,,,,DI-WA-RU,DIWARU,DWR,,,,dwr
,HT95a,,,,QE-RA-U,QERAU,QRU,,,,qru
,HT95b,,,,A-DU,ADU,AD,,,,ad
,HT95b,,,,SA-RU,SARU,SR,,,,sr
,HT95b,,,,DA-ME,DAME,DM,,,,dm
,HT95b,,,,MI-NU-TE,MINUTE,MNT,,,,mnt
,HT95b,,,,KU-NI-SU,KUNISU,KNS,,,,kns
,HT95b,,,,DI-WA-RU,DIWARU,DWR,,,,dwr
,HT95b,,,,QE-RA-U,QERAU,QRU,,,,qru
,HT96a,,,,I-TI-TI-KU-NI,ITITIKUNI,ITTKN,,,,ittkn
,HT96a,,,,A-PA-RA-NE,APARANE,APRN,,,,aprn
,HT96a,,,,A-[AB123]-TE,A123TE,A123T,,,,a123t
,HT96a,,,,SI-MI-TA,SIMITA,SMT,,,,smt
,HT96a,,,,RU-SA,RU-SA,RS,,,,rs
,HT96a,,,,PI-TA-RA,PITARA,PTR,,,,ptr
,HT96a,,,,KU-MA-RO,KUMARO,KMR,,,,kmr
,HT96a,,,,[A323]-[A344],323344,323344,,,,323344
,HT96b,,,,A-PA-RA-NE,APARANE,APRN,,,,aprn
,HT96b,,,,QA-[AB118]-RA-RE,QA118RARE,Q118RR,,,,q118rr
,HT97a,,,,KA-RU,KARU,KR,,,,kr
,HT97a,,,,KA-NU-TI,KANUTI,KNT,,,,knt
,HT97a,,,,PA-U-[],PAU999,PU999,,,,pu999
,HT97a,,,,NA-TI,NATI,NT,,,,nt
,HT97a,,,,MA-DI,MADI,MD,,,,md
,HT97a,,,,TA-NI,TANI,TN,,,,tn
,HT97a,,,,WA-[],WA999,W999,,,,w999
,HT97b,,,,SA-[A332]-[],SA332999,S332999,,,,s332999
,HT98a,,,,WA,WA,W,,,,w
,HT98a,,,,TA-NA-TI,TANATI,TNT,,,,tnt
,HT98a,,,,DA-RE-DA-NA,DAREDANA,DRDN,,,,drdn
,HT98a,,,,TE-[A301],TE301,T301,,,,t301
,HT98a,,,,RO-KE,ROKE,RK,,,,rk
,HT98a,,,,KA-RI-[A310]-I,KARI310I,KR310I,,,,kr310i
,HT98b,,,,DA-RU-NE-TE,DARUNETE,DRNT,,,,drnt
,HT99a,,,,A-DU,ADU,AD,,,,ad
,HT99a,,,,SA-RA,SARA,SR,,,,sr
,HT99b,,,,DA-SI-[AB118],DASI118,DS118,,,,ds118
,HT99b,,,,ZU-DU,ZUDU,ZD,,,,zd
,HT99b,,,,RU-MA-TA,RUMATA,RMT,,,,rmt
,HT100,,,,KU-RO,KURO,KR,,,,kr
,HT100,,,,SA-RA,SARA,SR,,,,sr
,HT101,,,,ZU-[]-DI,ZUXDI,ZXD,,,,zxd
,HT101,,,,KU-[AB056],KU056,K056,,,,k056
,HT102,,,,KA-PA,KAPA,KP,,,,kp
,HT102,,,,SA-RA,SARA,SR,,,,sr
,HT102,,,,[AB056]-NI,056NI,056N,,,,056n
,HT102,,,,DA-RI-NA,DARINA,DRN,,,,drn
,HT102,,,,MA-ZU,MAZU,MZ,,,,mz
,HT102,,,,I-KA,IKA,IK,,,,ik
,HT102,,,,KU-RO,KURO,KR,,,,kr
,HT103,,,,DA-KU-SE-NE,DAKUSENE,DKSN,,,,dksn
,HT103,,,,DA-KU-NA,DAKUNA,DKN,,,,dkn
,HT103,,,,DA-KU-SE-NE,DAKUSENE,DKSN,,,,dksn
,HT103,,,,KI-RA,KIRA,KR,,,,kr
,HT104,,,,TA-PA,TAPA,TP,,,,tp
,HT104,,,,DA-KU-SE-NE-KI,DAKUSENEKI,DKSNK,,,,dksnk
,HT104,,,,I-DA-KI,IDAKI,IDK,,,,idk
,HT104,,,,PA-DA-TU-KI,PADATUKI,PDTK,,,,pdtk
,HT104,,,,KU-RO,KURO,KR,,,,kr
,HT105,,,,KA-PA,KAPA,KP,,,,kp
,HT105,,,,SA-RA,SARA,SR,,,,sr
,HT106,,,,MI-NU-TE,MINUTE,MNT,,,,mnt
,HT108,,,,KI-RE-TA-NA,KIRETANA,KRTN,,,,krtn
,HT108,,,,DI-NA-RO,DINARO,DNR,,,,dnr
,HT108,,,,DU-SU-NI,DUSUNI,DSN,,,,dsn
,HT109,,,,KU-RO,KURO,KR,,,,kr
,HT109,,,,A-RA-JU,ARAJU,ARJ,,,,arj
,HT109,,,,A-RA-YU,ARAYU,ARY,,,,ary
,HT110a,,,,SI-DU-[]-KU-MI,SIDU999KUMI,SD999KM,,,,sd999km
,HT110a,,,,KU-PA,KUPA,KP,,,,kp
,HT110a,,,,KU-RO,KURO,KR,,,,kr
,HT111a,,,,QE-KA,QEKA,QK,,,,qk
,HT111a,,,,QA-SA,QASA,QS,,,,qs
,HT111a,,,,QA-QA-RU,QAQARU,QQR,,,,qqr
,HT111a,,,,NI,NI,N,,,,n
,HT111b,,,,SA-DI,SADI,SD,,,,sd
,HT112a,,,,[AB021F],21,21,,,,21
,HT112a,,,,TU-PA,TUPA,TP,,,,tp
,HT113,,,,RA-RI-WA,RARIWA,RRW,,,,rrw
,HT113,,,,WI-SA,WISA,WS,,,,ws
,HT114a,,,,KI-RI-TA,KIRITA,KRT,,,,krt
,HT114a,,,,SA-RA,SARA,SR,,,,sr
,HT115a,,,,[AB047]-PU-RA-JA,047PURAJA,047PRJ,,,,047prj
,HT115a,,,,[AB047]-PU-RA-YA,047PURAYA,047PRY,,,,047pry
,HT115a,,,,RI-TA-MA-PU-WI,RITAMAPUWI,RTMPW,,,,rtmpw
,HT115a,,,,NA-[]-NE-MI-NA,NA999NEMINA,N999NMN,,,,n999nmn
,HT115a,,,,SE-KU-TU,SEKUTU,SKT,,,,skt
,HT115a,,,,PA-RA-NE,PARANE,PRN,,,,prn
,HT115a,,,,A-SE-JA,ASEJA,ASJ,,,,asj
,HT115a,,,,A-SE-YA,ASEYA,ASY,,,,asy
,HT115a,,,,KA-PO-RU,KAPORU,KPR,,,,kpr
,HT115b,,,,PA-RA-NE,PARANE,PRN,,,,prn
,HT115b,,,,TI-NU-JA,TINUJA,TNJ,,,,tnj
,HT115b,,,,TI-NU-YA,TINUYA,TNY,,,,tny
,HT115b,,,,NU-WI,NUWI,NW,,,,nw
,HT115b,,,,DU-[AB056]-NA,DU056NA,D056N,,,,d056n
,HT115b,,,,KU-RU-MA,KURUMA,KRM,,,,krm
,HT115b,,,,RA-TU-JA,RATUJA,RTJ,,,,rtj
,HT115b,,,,RA-TU-YA,RATUYA,RTY,,,,rty
,HT115b,,,,KU-TA,KUTA,KT,,,,kt
,HT116a,,,,U-TA-RO,UTARO,UTR,,,,utr
,HT116a,,,,KU-PA-JA,KUPAJA,KPJ,,,,kpj
,HT116a,,,,KU-PA-YA,KUPAYA,KPY,,,,kpy
,HT116a,,,,PU-RA,PURA,PR,,,,pr
,HT116a,,,,TU-[]-TE,TU999TE,T999T,,,,t999t
,HT116a,,,,SI-KI-NE,SIKINE,SKN,,,,skn
,HT116a,,,,QA-NU-MA,QANUMA,QNM,,,,qnm
,HT116b,,,,KU-RO,KURO,KR,,,,kr
,HT117a,,,,MA-KA-RI-TE,MAKARITE,MKRT,,,,mkrt
,HT117a,,,,KI-RO,KIRO,KR,,,,kr
,HT117a,,,,U-MI-NA-SI,UMINASI,UMNS,,,,umns
,HT117a,,,,U-SU,USU,US,,,,us
,HT117a,,,,MI-TU,MITU,MT,,,,mt
,HT117a,,,,KU-RA-QI,KURAQI,KRQ,,,,krq
,HT117a,,,,MA-RU,MARU,MR,,,,mr
,HT117a,,,,KU-RA-NU,KURANU,KRN,,,,krn
,HT117a,,,,TU-JU-MA,TUJUMA,TJM,,,,tjm
,HT117a,,,,TU-YU-MA,TUYUMA,TYM,,,,tym
,HT117a,,,,U-DI-MI,UDIMI,UDM,,,,udm
,HT117a,,,,MI-RU-TA-RA-RE,MIRUTARARE,MRTRR,,,,mrtrr
,HT117a,,,,TE-JA-RE,TEJARE,TJR,,,,tjr
,HT117a,,,,TE-YA-RE,TEYARE,TYR,,,,tyr
,HT117a,,,,NA-DA-RE,NADARE,NDR,,,,ndr
,HT117a,,,,KU-RO,KURO,KR,,,,kr
,HT117a,,,,KU-KU-DA-RA,KUKUDARA,KKDR,,,,kkdr
,HT117a,,,,KO-SA-I-TI,KOSAITI,KSIT,,,,ksit
,HT117a,,,,DA-MI-NU,DAMINU,DMN,,,,dmn
,HT117a,,,,DA-NE-KU-TI,DANEKUTI,DNKT,,,,dnkt
,HT117a,,,,KI-DA-RO,KIDARO,KDR,,,,kdr
,HT117b,,,,[AB021F]-TU-NE,021TUNE,012TN,,,,012tn
,HT117b,,,,KU-RE-JU,KUREJU,KRJ,,,,krj
,HT117b,,,,KU-RE-YU,KUREYU,KRY,,,,kry
,HT117b,,,,DI-KI-SE,DIKISE,DKS,,,,dks
,HT118,,,,I-MA-DI,IMADI,IMD,,,,imd
,HT118,,,,QA-QA-RU,QAQARU,QQR,,,,qqr
,HT118,,,,A-[A703D]-SU,A703SU,A703S,,,,a703s
,HT118,,,,[A703D]-RU-MA,703RUMA,703RM,,,,703rm
,HT118,,,,KU-RO,KURO,KR,,,,kr
,HT119,,,,RI-MI-SI,RIMISI,RMS,,,,rms
,HT119,,,,KO-JA,KOJA,KJ,,,,kj
,HT119,,,,KU-[AB056]-NA-TU,KU056NATU,K0567NT,,,,k0567nt
,HT119,,,,JA-[A345],JA345,J345,,,,j345
,HT119,,,,YA-[A345],YA345,Y345,,,,y345
,HT119,,,,JA-[AB047]+DA,JA047DA,J047D,,,,j047d
,HT119,,,,YA-[AB047]+DA,YA047DA,Y047D,,,,y047d
,HT119,,,,[]-TU,999TU,999T,,,,999t
,HT119,,,,KU-RO,KURO,KR,,,,kr
,HT120,,,,DA-QE-RA,DAQERA,DQR,,,,dqr
,HT120,,,,DA-[AB013],DA013,D013,,,,d013
,HT120,,,,DA-U-[AB049],DAU049,DU049,,,,du049
,HT120,,,,[A028B]-[A574],28574,28574,,,,28574
,HT120,,,,[A028B]-[A120]+PA,028120PA,028120P,,,,028120p
,HT120,,,,KI-SI-TA-NA-[A580],KISITANA580,KSTN580,,,,kstn580
,HT120,,,,KI-SI-TA-NA-[A120]+RO,KISITANA120RO,KSTN120R,,,,kstn120r
,HT120,,,,PA-I-TO,PAITO,PIT,,,,pit
,HT121,,,,KI-RI-TA,KIRITA,KRT,,,,krt
,HT121,,,,[A302]-QE-DI,302QEDI,302QD,,,,302qd
,HT121,,,,SA-RYA-[AB120],SARYA120,SR120,,,,sr120
,HT122a,,,,RA-RI,RARI,RR,,,,rr
,HT122a,,,,U-DE-ZA,U-DE-ZA,UDZ,,,,udz
,HT122a,,,,DA-SI,DASI,DS,,,,ds
,HT122a,,,,DI-I-TE-KI,DIITEKI,DITK,,,,ditk
,HT122a,,,,QA-[A310]-I,QA310I,Q310I,,,,q310i
,HT122a,,,,JA-MI-DA-RE,JAMIDARE,JMDR,,,,jmdr
,HT122a,,,,YA-MI-DA-RE,YAMIDARE,YMDR,,,,ymdr
,HT122a,,,,SI-DA-RE,SIDARE,SDR,,,,sdr
,HT122a,,,,NU-DI-RA,NUDIRA,NDR,,,,ndr
,HT122a,,,,PA-DE,PADE,PD,,,,pd
,HT122a,,,,KU-[AB056]-NU,KU056NU,K056N,,,,k056n
,HT122a,,,,PA-TA-NE,PATANE,PTN,,,,ptn
,HT122a,,,,[]-TU,999TU,999T,,,,999t
,HT122a,,,,DU-I-KU-[AB056]-NU,DUIKU056NU,DIK056N,,,,dik056n
,HT122a,,,,KU-RO,KURO,KR,,,,kr
,HT122a,,,,KU-DA,KUDA,KD,,,,kd
,HT122b,,,,JE-DI,JEDI,JD,,,,jd
,HT122b,,,,YE-DI,YEDI,YD,,,,yd
,HT122b,,,,[]-KI-TA,999KITA,999KT,,,,999kt
,HT122b,,,,A-RA-[]-U-DE-ZA,ARA999UDEZA,AR999UDZ,,,,ar999udz
,HT122b,,,,QA-QA-RU,QAQARU,QQR,,,,qqr
,HT122b,,,,DA-RE,DARE,DR,,,,dr
,HT122b,,,,KU-RO,KURO,KR,,,,kr
,HT122b,,,,PO-TO-KU-RO,POTOKURO,PTKR,,,,ptkr
,HT123a,,,,KI-TA-I,KITAI,KTI,,,,kti
,HT123a,,,,KI-RO,KIRO,KR,,,,kr
,HT123a,,,,PU-[AB131A]-[AB122],PU131122,P131122,,,,p131122
,HT123a,,,,KI-RO,KIRO,KR,,,,kr
,HT123a,,,,SA-RU-[AB122],SARU122,SR122,,,,sr122
,HT123a,,,,KI-RO,KIRO,KR,,,,kr
,HT123a,,,,DA-TU-[AB122],DATU122,DT122,,,,dt122
,HT123a,,,,KI-RO,KIRO,KR,,,,kr
,HT123a,,,,KU-RO-[AB122],KURO122,KR122,,,,kr122
,HT123a,,,,KU-RO,KURO,KR,,,,kr
,HT123a,,,,KI-RO,KIRO,KR,,,,kr
,HT123b,,,,TI-DA-TA,TIDATA,TDT,,,,tdt
,HT123b,,,,PI-SA,PISA,PS,,,,ps
,HT123b,,,,[AB188]-DU,188DU,188D,,,,188d
,HT123b,,,,TU-PA-DI-DA,TUPADIDA,TPDD,,,,tpdd
,HT123b,,,,KA-NA-[]-SI-DU-PA-DU-MA-I-NA,KANA999SIDUPADUMAINA,KN999SDPDMIN,,,,kn999sdpdmin
,HT123b,,,,KU-RO,KURO,KR,,,,kr
,HT123b,,,,KI-RO,KIRO,KR,,,,kr
,HT125a,,,,[A302]+KI,302KI,302K,,,,302k
,HT125a,,,,[A302]+U,302U,302U,,,,302u
,HT125a,,,,[A302]+MI,302MI,302M,,,,302m
,HT125a,,,,SA-RYA-[AB120],SARYA120,SR120,,,,sr120
,HT125b,,,,RE-TA-[AB574],RETA574,RT574,,,,rt574
,HT125b,,,,RE-TA-[AB120]+PA,RETA120PA,RT120P,,,,rt120p
,HT126a,,,,DA-NA-SI,DANASI,DNS,,,,dns
,HT126a,,,,A-NA-[],ANA999,AN999,,,,an999
,HT126a,,,,SI-DI-JA,SIDIJA,SDJ,,,,sdj
,HT126a,,,,SI-DI-YA,SI-DI-YA,SDY,,,,sdy
,HT126a,,,,U-[AB049],U049,U049,,,,u049
,HT127a,,,,DU-NE-MI,DUNEMI,DNM,,,,dnm
,HT127a,,,,[A629]-DA-[AB047]-KU,629DA047KU,629D047K,,,,629d047k
,HT127b,,,,KU-RO,KURO,KR,,,,kr
,HT127b,,,,KU-RO,KURO,KR,,,,kr
,HT128a,,,,PA-RA,PARA,PR,,,,pr
,HT128a,,,,TU-RU-NU-I,TURUNUI,TRNI,,,,trni
,HT128a,,,,WA-TU-MA-RE-[AB120]+KU,WATUMARE120KU,WTMR120K,,,,wtmr120k
,HT128a,,,,WA-TU-MA-RE-[A579],WATUMARE579,WTMR579,,,,wtmr579
,HT128a,,,,MI-TA-[A574],MITA574,MT574,,,,mt574
,HT128a,,,,MI-TA-[AB120]+PA,MITA120PA,MT120P,,,,mt120p
,HT128a,,,,MA-RI,MARI,MR,,,,mr
,HT128b,,,,RE-[]-[]-[A579],RE999999579,R999999579,,,,r999999579
,HT128b,,,,RE-[]-[]-[AB120]+KU,RE999999120KU,RE999999120K,,,,re999999120k
,HT129,,,,KI-RE-TA-[AB120],KIRETA120,KRT120,,,,krt120
,HT129,,,,TU-[AB021F],TU021,T021,,,,t021
,HT129,,,,NA-[AB120],NA120,N120,,,,n120
,HT130,,,,SA-RYA-[A303],SARYA303,SR303,,,,sr303
,HT130,,,,KU-RO,KURO,KR,,,,kr
,HT130,,,,SI-[A303],SI303,S303,,,,s303
,HT130,,,,SI-QA,SIQA,SQ,,,,sq
,HT130,,,,I-QA,IQA,IQ,,,,iq
,HT131b,,,,PO-TO-KU-RO,POTOKURO,PTKR,,,,ptkr
,HT132,,,,A-SE,ASE,AS,,,,as
,HT132,,,,QA-RE-TO,QARETO,QRT,,,,qrt
,HT135a,,,,NE-MI-NA,NEMINA,NMN,,,,nmn
,HT135a,,,,MI-TU,MITU,MT,,,,mt
,HT135a,,,,MI-KA,MIKA,MK,,,,mk
,HT135a,,,,NA-[]-NE,NA999NE,N999N,,,,n999n
,HT135b,,,,TA-NE,TANE,TN,,,,tn
,HT137,,,,TA-[AB120],TA120,T120,,,,t120
,HT140,,,,U-[AB034]-SI,U034SI,U034S,,,,u034s
,HT140,,,,[AB086]-SI-NI,086SINI,086SN,,,,086sn
,HT140,,,,JE-DI,JEDI,JD,,,,jd
,HT140,,,,YE-DI,YEDI,YD,,,,yd
,HT140,,,,U-[AB034]-SI,U034SI,U034S,,,,u034s
,HT140,,,,[AB086]-SI-[AB118]-KA,086SI118KA,086S118K,,,,086s118k
,HT140,,,,KA-[]-MA-[]-KA,KA999MA999KA,K999M999K,,,,k999m999k
,HT140,,,,KA-PA,KAPA,KP,,,,kp
,HT141,,,,A-RI,ARI,AR,,,,ar
,HT141,,,,RU-DI,RUDI,RD,,,,rd
,HT146,,,,RI-KA-TA,RIKATA,RKT,,,,rkt
,HT154a,,,,TU-ME-PA-JA,TUMEPAJA,TMPJ,,,,tmpj
,HT154a,,,,TU-ME-PA-YA,TUMEPAYA,TMPY,,,,tmpy
,HT154Ja,,,,NU-RE,NURE,NR,,,,nr
,HT154Ja,,,,NU-I,NUI,NI,,,,ni
,HT154Ja,,,,NU-TE,NUTE,NT,,,,nt
,KE1,Kea,,,KA-SA,KASA,KS,,,,ks
,KN1a,Knossos,,,JA-KU-TI-E,JAKUTIE,JKTE,,,,jkte
,KN1a,,,,YA-KU-TI-E,YAKUTIE,YKTE,,,,ykte
,KN1b,Knossos,,,JA-DU-RA-TI-E,JADURATIE,JDRTE,,,,jdrte
,KN1b,,,,YA-DU-RA-TI-E,YADURATIE,YDRTE,,,,ydrte
,KN2,Knossos,,,RU-NA,RUNA,RN,,,,rn
,KN2,,,,I+[A301],I301,I301,,,,i301
,KN22a,Knossos,,,SU-JU-TA-[],SUJUTA999,SJT999,,,,sjt999
,KN22a,,,,SU-YU-TA-[],SUYUTA999,SYT999,,,,syt999
,KN22a,,,,[]-KA-JE,999KAJE,999KJ,,,,999kj
,KN22a,,,,[]-KA-YE,999KAYE,999KY,,,,999ky
,KN22b,Knossos,,,PO-DI-[AB056],PODI056,PD056,,,,pd056
,KN22c,Knossos,,,MA-SU-MI,MASUMI,MSM,,,,msm
,KN28a & KN28b,Knossos,,,TE-[A7094]-[A310],TE709310,T709310,,,,t709310
,KN28a & KN28b,,,,SU+MI,SUMI,SM,,,,sm
,KN32a,Knossos,,,A-PA-[],APA999,AP999,,,,ap999
,KN32a,,,,[]-A-KA-TA,999AKATA,999AKT,,,,999akt
,KN32b,Knossos,,,[]-SA-PU,999SAPU,999SP,,,,999sp
,KN32b,,,,PA-[],PA999,P999,,,,p999
,KN32b,,,,[]-JA-SU,999JASU,999JS,,,,999js
,KN32b,,,,[]-YA-SU,999YASU,999YS,,,,999ys
,MA1a,Mallia,,,JE-I-DU-WI,JEIDUWI,JIDW,,,,jidw
,MA1a,,,,[AB047],47,47,,,,47
,MA1a,,,,YE-I-DU-WI,YEIDUWI,YIDW,,,,yidw
,MA1a,,,,QE-MA-MI-NU,QEMAMINU,QMMN,,,,qmmn
,MA1b,Mallia,,,A-MA,AMA,AM,,,,am
,MA1b,,,,[AB047],47,47,,,,47
,MA1b,,,,QE-MA-MI-NU,QEMAMINU,QMMN,,,,qmmn
,MA1c,Mallia,,,TI,TI,T,,,,t
,MA2a,Mallia,,,DU-RA,DURA,DR,,,,dr
,MA2b,Mallia,,,RE-TI,RETI,RT,,,,rt
,MA2b,,,,JA-KU,JAKU ,JK ,,,,jk 
,MA2b,,,,YA-KU ,YAKU ,YK ,,,,yk 
,MA2c,Mallia,,,U-NA-NA,UNANA,UNN,,,,unn
,MA2c,,,,[]-JA-MA-U-TI,999JAMAUTI,999JMUT,,,,999jmut
,MA2c,,,,[]-YA-MA-U-TI,999YAMAUTI,999YMUT,,,,999ymut
,MA4a,Mallia,,,TA-[A602],TA602,T602,,,,t602
,MA4b,Mallia,,,A-[]-JA,A999JA,A999J,,,,a999j
,MA4b,,,,A-[]-YA,A999YA,A999Y,,,MA4 - MA9 seems to be from a different genre from the rest of the tablets with symbol AB180 particularly important to the genre.,a999y
,PK1,Palaikastro,,,SI-[]-NE-TI,SI001NETI,S001NT,,,I placed the value 001 at the missing symbol because only one symbol is corrupted and may lend meaning to overall sentence,s001nt
,PK1,,,,KA-QA,KAQA,KQ,,,,kq
,PK1,,,,A-DU-ZA,ADUZA,ADZ,,,,adz
,PK1,,,,TA-TA-RE,TATARE,TTR,,,,ttr
,PK1,,,,TA-TI-TE,TATITE,TTT,,,,ttt
,PK1,,,,O-KA-MI-ZA-SI-I-NA,OKAMIZASIINA,OKMZSIN,,,,okmzsin
,PK1,,,,O-TE-JA,OTEJA,OTJ,,,,otj
,PK1,,,,O-TE-YA,OTEYA,OTY,,,,oty
,PK1,,,,RA-NA-TU-SU,RANATUSU,RNTS,,,,rnts
,PK1,,,,NI-MI,NIMI,NM,,,,nm
,PK1,,,,TU-SU,TUSU,TS,,,,ts
,PK1,,,,MA-TI-ZA-I-TE,MATIZAITE,MTZIT,,,,mtzit
,PK1,,,,MA-TE-TI,MATETI,MTT,,,,mtt
,PK1,,,,MA-KA-I-TA,MAKAITA,MKIT,,,,mkit
,PA1,Papoura,,,A-KU-JU-PA,AKUJUPA,AKJP,,,,akjp
,PA1,,,,A-KU-YU-PA,AKUYUPA,AKYP,,,,akyp
,PH1a,Phaistos,,,DI-RA-DI-NA-[A316]-[],DIRADINA316999,DRDN316999,,,,drdn316999
,PH1b,Phaistos,,,PA-[]-NI,PA999NI,P999N,,,,p999n
,PH2,Phaistos,,,A-SE-O-QI,ASEOQI,ASOQ,,,,asoq
,PH2,,,,RA-O-DI-KI,RAODIKI,RODK,,,,rodk
,PH2,,,,PI-RU-TI-JU,PIRUTIJU,PRTJ,,,,prtj
,PH2,,,,PI-RU-TI-YU,PIRUTIYU,PRTY,,,,prty
,PH2,,,,SE-SA-[AB056],SESA056,SS056,,,,ss056
,PH3a,Phaistos,,,PA-RA,PARA,PR,,,,pr
,PH3a,,,,[]-MA+A,999MAA,999MA,,,,999ma
,PH3a,,,,MA+MA,MAMA,MM,,,,mm
,PH3b,Phaistos,,,[]-MI+JA,999MIJA,999MJ,,,,999mj
,PH3b,,,,[]-MI-YA,999MIYA,999MY,,,,999my
,PH6,Phaistos,,,I-NA-WA,INAWA,INW,,,,inw
,PH6,,,,A-RI-I-[AB079]-RI-NI-TA-A-RI,ARII079RINITAARI,ARI079RNTAR,,,,ari079rntar
,PH6,,,,I-DA-[AB056]-I-SA-RI,IDA056ISARI,ID056ISR,,,,id056isr
,PH7a,Phaistos,,,DI-RA-JA-[],DIRAJA999,DRJ999,,,,drj999
,PH7a,,,,DI-RA-YA-[],DIRAYA999,DRY999,,,,dry999
,PH7a,,,,[]-U-DI-RI-KI-[],999UDIRIKI999,999UDRK999,,,,999udrk999
,PH7a,,,,[]-JA-RU-MA-NE-[],999JARUMANE999,999JRMN999,,,,999jrmn999
,PH7a,,,,[]-YA-RU-MA-NE-[],999YARUMANE999,999YRMN999,,,,999yrmn999
,PH7a,,,,[]-JA-SI-DA-RA,999JASIDARA,999JSDR,,,,999jsdr
